Longitude	Latitude	Elevation, m	Distance (km)
-157.7	21.407633	-17.493433	0.0
-157.69968	21.407633	-17.819485	0.03291667
-157.69937	21.407633	-18.035168	0.06583347
-157.69905	21.407633	-18.200731	0.09875028
-157.69873	21.407633	-18.348358	0.13166723
-157.69841	21.407635	-18.438274	0.16458403
-157.69809	21.407635	-18.522984	0.19750082
-157.69777	21.407635	-18.714376	0.23041749
-157.69745	21.407635	-19.063145	0.26333416
-157.69714	21.407635	-19.518738	0.29625097
-157.69682	21.407635	-20.029625	0.32916778
-157.6965	21.407635	-20.574934	0.3620846
-157.69618	21.407635	-21.1853	0.3950014
-157.69586	21.407635	-21.810305	0.42791808
-157.69554	21.407635	-22.363144	0.4608349
-157.69524	21.407637	-22.809212	0.49375156
-157.69492	21.407637	-23.19273	0.52666825
-157.6946	21.407637	-23.557936	0.55958503
-157.69427	21.407637	-23.928225	0.5925018
-157.69395	21.407637	-24.288036	0.6254186
-157.69363	21.407637	-24.648115	0.6583354
-157.69333	21.407637	-25.031332	0.69125205
-157.69301	21.407637	-25.454193	0.72416884
-157.69269	21.407637	-25.896095	0.7570855
-157.69237	21.407637	-26.322035	0.79000205
-157.69205	21.407637	-26.69356	0.8229187
-157.69173	21.407639	-27.016834	0.8558357
-157.69142	21.407639	-27.349129	0.88875246
-157.6911	21.407639	-27.74578	0.9216694
-157.69078	21.407639	-28.197552	0.9545864
-157.69046	21.407639	-28.69681	0.98750305
-157.69014	21.407639	-29.277302	1.0204198
-157.68982	21.407639	-29.977024	1.0533367
-157.68951	21.407639	-30.784029	1.0862535
-157.6892	21.407639	-31.635988	1.1191704
-157.68887	21.407639	-32.471764	1.1520873
-157.68855	21.407639	-33.28542	1.1850041
-157.68823	21.40764	-34.111248	1.2179208
-157.68791	21.40764	-34.977814	1.2508374
-157.6876	21.40764	-35.82456	1.2837541
-157.68729	21.40764	-36.658722	1.3166709
-157.68697	21.40764	-37.660618	1.3495876
-157.68665	21.40764	-39.00467	1.382504
-157.68633	21.40764	-40.69867	1.4154207
-157.686	21.40764	-42.62423	1.4483376
-157.68568	21.40764	-44.67515	1.4812543
-157.68538	21.40764	-46.793312	1.5141711
-157.68506	21.40764	-49.031593	1.5470879
-157.68474	21.40764	-51.45084	1.5800048
-157.68442	21.407642	-54.184155	1.6129216
-157.6841	21.407642	-57.32693	1.6458383
-157.68378	21.407642	-60.54962	1.678755
-157.68347	21.407642	-63.40365	1.7116717
-157.68315	21.407642	-65.7955	1.7445884
-157.68283	21.407642	-67.897125	1.777505
-157.68251	21.407642	-69.70541	1.8104218
-157.68219	21.407642	-71.16069	1.8433385
-157.68187	21.407642	-72.224045	1.8762553
-157.68156	21.407642	-73.08144	1.9091722
-157.68124	21.407642	-73.95889	1.942089
-157.68092	21.407642	-74.85403	1.9750059
-157.6806	21.407644	-75.70698	2.0079226
-157.68028	21.407644	-76.60933	2.0408394
-157.67996	21.407644	-77.62159	2.0737562
-157.67966	21.407644	-78.71982	2.106673
-157.67934	21.407644	-79.86334	2.1395898
-157.67902	21.407644	-81.007805	2.1725066
-157.6787	21.407644	-82.06374	2.2054236
-157.67838	21.407644	-83.14366	2.2383406
-157.67805	21.407644	-84.50302	2.2712574
-157.67775	21.407644	-86.06445	2.3041742
-157.67743	21.407644	-87.74185	2.3370905
-157.67711	21.407644	-90.041115	2.3700073
-157.67679	21.407644	-93.38905	2.402924
-157.67647	21.407646	-97.414055	2.435841
-157.67615	21.407646	-102.45892	2.4687579
-157.67584	21.407646	-109.561676	2.5016747
-157.67552	21.407646	-119.66455	2.5345914
-157.6752	21.407646	-132.26251	2.5675085
-157.67488	21.407646	-145.91217	2.6004252
-157.67456	21.407646	-159.53574	2.633342
-157.67424	21.407646	-173.68752	2.6662588
-157.67392	21.407646	-188.01974	2.6991758
-157.67361	21.407646	-201.23781	2.7320926
-157.6733	21.407646	-212.79799	2.7650092
-157.67297	21.407646	-223.24818	2.797926
-157.67265	21.407646	-233.03926	2.830843
-157.67233	21.407648	-242.46573	2.8637598
-157.67201	21.407648	-251.39066	2.8966768
-157.6717	21.407648	-259.86035	2.9295936
-157.67139	21.407648	-268.08755	2.9625103
-157.67107	21.407648	-276.04486	2.9954271
-157.67075	21.407648	-283.69772	3.028344
-157.67043	21.407648	-291.2353	3.0612607
-157.6701	21.407648	-298.7714	3.0941775
-157.6698	21.407648	-306.24826	3.1270943
-157.66948	21.407648	-313.67303	3.1600113
-157.66916	21.407648	-321.09567	3.192928
-157.66884	21.407648	-328.52286	3.2258449
-157.66852	21.407648	-335.93613	3.2587616
-157.6682	21.407648	-343.3361	3.2916784
-157.6679	21.407648	-350.72888	3.3245952
-157.66757	21.40765	-358.1164	3.357512
-157.66725	21.40765	-365.4808	3.390429
-157.66693	21.40765	-372.7934	3.423346
-157.66661	21.40765	-379.9772	3.4562628
-157.66629	21.40765	-387.12378	3.4891798
-157.66599	21.40765	-394.42957	3.5220966
-157.66566	21.40765	-402.1599	3.5550134
-157.66534	21.40765	-410.24966	3.5879302
-157.66502	21.40765	-418.23315	3.620847
-157.6647	21.40765	-425.6458	3.6537638
-157.66438	21.40765	-432.42874	3.6866806
-157.66406	21.40765	-438.85132	3.7195973
-157.66376	21.40765	-445.11337	3.7525141
-157.66344	21.40765	-451.40067	3.785431
-157.66312	21.40765	-457.61368	3.8183477
-157.6628	21.407652	-463.48227	3.8512645
-157.66248	21.407652	-468.7723	3.8841813
-157.66216	21.407652	-473.51764	3.917098
-157.66185	21.407652	-478.99823	3.9500148
-157.66153	21.407652	-465.562	3.9829316
-157.66121	21.407652	-469.63962	4.0158486
-157.66089	21.407652	-474.70132	4.048765
-157.66057	21.407652	-479.5714	4.081682
-157.66025	21.407652	-484.23798	4.1145988
-157.65994	21.407652	-488.6891	4.1475153
-157.65962	21.407652	-492.91278	4.180432
-157.6593	21.407652	-496.94254	4.213349
-157.65898	21.407652	-520.7655	4.2462654
-157.65866	21.407652	-520.5152	4.2791824
-157.65834	21.407652	-521.45734	4.312099
-157.65804	21.407652	-522.2733	4.3450155
-157.65771	21.407652	-522.9609	4.377932
-157.6574	21.407654	-523.6289	4.4108486
-157.65707	21.407654	-524.3833	4.4437656
-157.65675	21.407654	-525.09106	4.4766827
-157.65643	21.407654	-526.12537	4.5095997
-157.65613	21.407654	-527.25775	4.542516
-157.6558	21.407654	-528.5723	4.5754333
-157.65549	21.407654	-530.09357	4.6083503
-157.65517	21.407654	-531.61847	4.641267
-157.65485	21.407654	-532.9248	4.6741834
-157.65453	21.407654	-534.0047	4.7071
-157.65422	21.407654	-534.9355	4.740017
-157.6539	21.407654	-535.6909	4.772934
-157.65358	21.407654	-536.2448	4.805851
-157.65326	21.407654	-536.60376	4.838768
-157.65294	21.407654	-536.8118	4.871685
-157.65262	21.407654	-536.8993	4.904602
-157.6523	21.407654	-536.81177	4.937519
-157.652	21.407654	-536.6106	4.970436
-157.65167	21.407654	-536.4547	5.003353
-157.65135	21.407656	-536.411	5.0362697
-157.65103	21.407656	-536.4212	5.069186
-157.65071	21.407656	-536.46814	5.102103
-157.65039	21.407656	-536.53265	5.1350203
-157.65009	21.407656	-536.59283	5.167937
-157.64977	21.407656	-536.69617	5.2008533
-157.64944	21.407656	-536.91724	5.2337704
-157.64912	21.407656	-537.3294	5.2666874
-157.6488	21.407656	-537.88495	5.299604
-157.64848	21.407656	-538.455	5.3325205
-157.64818	21.407656	-538.9451	5.365437
-157.64786	21.407656	-539.3886	5.3983536
-157.64754	21.407656	-539.7913	5.4312706
-157.64722	21.407656	-540.1155	5.4641876
-157.6469	21.407656	-540.3727	5.4971046
-157.64658	21.407656	-540.56494	5.530021
-157.64627	21.407656	-540.6381	5.562938
-157.64595	21.407656	-540.58997	5.595855
-157.64563	21.407656	-540.4616	5.6287723
-157.64531	21.407656	-540.15015	5.661689
-157.64499	21.407656	-539.50934	5.6946054
-157.64467	21.407658	-538.4581	5.7275224
-157.64436	21.407658	-537.09985	5.7604394
-157.64404	21.407658	-535.5955	5.7933564
-157.64372	21.407658	-533.95917	5.8262734
-157.6434	21.407658	-532.1121	5.85919
-157.64308	21.407658	-530.27026	5.8921065
-157.64276	21.407658	-528.6926	5.925023
-157.64244	21.407658	-527.36224	5.9579396
-157.64214	21.407658	-526.218	5.9908566
-157.64182	21.407658	-525.3646	6.0237737
-157.6415	21.407658	-524.9075	6.0566907
-157.64117	21.407658	-524.81647	6.0896077
-157.64085	21.407658	-524.93134	6.1225243
-157.64053	21.407658	-525.1077	6.1554413
-157.64023	21.407658	-525.38556	6.1883583
-157.63991	21.407658	-525.7676	6.221275
-157.63959	21.407658	-526.14606	6.2541914
-157.63927	21.407658	-526.35724	6.287108
-157.63895	21.407658	-526.4617	6.320025
-157.63863	21.407658	-526.77484	6.352942
-157.63832	21.407658	-527.55695	6.385859
-157.638	21.407658	-528.7141	6.418776
-157.63768	21.407658	-530.2637	6.4516926
-157.63736	21.407658	-532.40765	6.484609
-157.63704	21.40766	-535.2661	6.5175257
-157.63672	21.40766	-538.744	6.5504427
-157.63641	21.40766	-542.68884	6.5833592
-157.6361	21.40766	-546.9907	6.6162763
-157.63577	21.40766	-551.6905	6.6491933
-157.63545	21.40766	-556.7897	6.6821103
-157.63513	21.40766	-562.23413	6.715027
-157.63481	21.40766	-568.0317	6.7479434
-157.6345	21.40766	-574.1907	6.7808604
-157.63419	21.40766	-580.6527	6.813777
-157.63387	21.40766	-587.47296	6.8466935
-157.63354	21.40766	-594.7454	6.87961
-157.63322	21.40766	-602.1659	6.912527
-157.6329	21.40766	-609.33136	6.945444
-157.6326	21.40766	-616.2355	6.978361
-157.63228	21.40766	-622.98895	7.0112777
-157.63196	21.40766	-629.42395	7.0441947
-157.63164	21.40766	-635.54193	7.0771117
-157.63132	21.40766	-641.4299	7.1100287
-157.631	21.40766	-646.8214	7.142946
-157.63068	21.40766	-651.38116	7.175863
-157.63037	21.40766	-654.9578	7.2087793
-157.63005	21.40766	-657.8057	7.241696
-157.62973	21.40766	-660.2562	7.274613
-157.62941	21.40766	-662.4896	7.3075294
-157.62909	21.40766	-664.394	7.340446
-157.62877	21.40766	-665.9118	7.373363
-157.62846	21.40766	-666.9928	7.4062796
-157.62814	21.40766	-667.5365	7.439196
-157.62782	21.40766	-667.6925	7.472113
-157.6275	21.40766	-667.75635	7.50503
-157.62718	21.40766	-667.7986	7.537947
-157.62686	21.407661	-667.72107	7.5708637
-157.62656	21.407661	-667.63916	7.6037807
-157.62624	21.407661	-667.6901	7.636698
-157.62592	21.407661	-667.90967	7.669615
-157.6256	21.407661	-668.1687	7.702532
-157.62527	21.407661	-668.314	7.735449
-157.62495	21.407661	-668.25464	7.768366
-157.62465	21.407661	-668.0637	7.801283
-157.62433	21.407661	-667.8469	7.8341994
-157.62401	21.407661	-667.692	7.867116
-157.62369	21.407661	-667.5884	7.900033
-157.62337	21.407661	-667.4915	7.9329495
-157.62305	21.407661	-667.3743	7.965866
-157.62274	21.407661	-667.1859	7.9987826
-157.62242	21.407661	-666.9616	8.031699
-157.6221	21.407661	-666.8136	8.064616
-157.62178	21.407661	-666.83594	8.097533
-157.62146	21.407661	-667.0149	8.13045
-157.62114	21.407661	-667.2787	8.163366
-157.62082	21.407661	-667.5613	8.196283
-157.62051	21.407661	-667.8359	8.2292
-157.6202	21.407661	-668.14056	8.262117
-157.61987	21.407661	-668.5006	8.295034
-157.61955	21.407661	-669.13257	8.327951
-157.61923	21.407661	-670.115	8.360868
-157.61891	21.407661	-670.8505	8.393785
-157.6186	21.407661	-670.65265	8.4267025
-157.61829	21.407661	-669.3132	8.4596195
-157.61797	21.407661	-667.12976	8.492537
-157.61765	21.407661	-665.955	8.525454
-157.61732	21.407661	-665.4631	8.558371
-157.617	21.407661	-664.8434	8.591288
-157.6167	21.407661	-664.22455	8.624205
-157.61638	21.407661	-663.6126	8.657122
-157.61606	21.407661	-663.01636	8.690039
-157.61574	21.407661	-662.4445	8.722956
-157.61542	21.407661	-662.1148	8.755873
-157.6151	21.407661	-658.49817	8.78879
-157.61479	21.407661	-658.6919	8.821707
-157.61447	21.407661	-659.1668	8.854624
-157.61415	21.407661	-659.7165	8.887541
-157.61383	21.407661	-660.3979	8.920458
-157.61351	21.407661	-661.136	8.953375
-157.61319	21.407661	-661.7634	8.986292
-157.61288	21.407661	-662.22577	9.019209
