Longitude	Latitude	Elevation, m	Distance (km)
-157.734	21.274303	-4.0227957	0.0
-157.73337	21.274303	-4.7848063	0.06598061
-157.73273	21.274303	-5.0975704	0.13196123
-157.73209	21.274303	-4.7643423	0.19794184
-157.73145	21.274303	-4.6660876	0.26392245
-157.73082	21.274303	-4.7967086	0.329903
-157.73018	21.274303	-4.6862664	0.39588356
-157.72954	21.274303	-4.3547115	0.4618641
-157.72891	21.274303	-3.7335978	0.5278447
-157.72827	21.274303	-3.2565398	0.59382534
-157.72763	21.274303	-3.091497	0.6598059
-157.72699	21.274303	-2.984149	0.7257865
-157.72636	21.274303	-2.9045625	0.7917671
-157.72572	21.274303	-2.8707106	0.8577477
-157.72508	21.274303	-2.7229185	0.9237282
-157.72444	21.274303	-2.3143513	0.9897088
-157.72382	21.274303	-2.083084	1.0556892
-157.72318	21.274303	-2.1320093	1.1216698
-157.72253	21.274303	-2.4972599	1.1876504
-157.72191	21.274303	-2.8194144	1.253631
-157.72127	21.274303	-2.5683858	1.3196114
-157.72063	21.274303	-2.1301947	1.3855919
-157.71999	21.274303	-1.6910269	1.4515723
-157.71936	21.274303	-1.4547253	1.5175529
-157.71872	21.274303	-1.4345217	1.5835334
-157.71808	21.274303	-1.5793973	1.649514
-157.71744	21.274303	-1.699962	1.7154945
-157.71681	21.274303	-1.555557	1.7814751
-157.71617	21.274303	-1.6027253	1.8474557
-157.71553	21.274303	-1.9511356	1.9134363
-157.71489	21.274303	-2.2151368	1.9794168
-157.71426	21.274303	-2.4459548	2.0453975
-157.71362	21.274303	-2.8273711	2.1113782
-157.71298	21.274303	-3.1317437	2.1773589
-157.71236	21.274303	-3.1969643	2.2433393
-157.71172	21.274303	-3.2409606	2.3093197
-157.71107	21.274303	4.8670173	2.3753002
-157.71043	21.274303	10.535804	2.4412808
-157.70981	21.274303	9.601499	2.5072615
-157.70917	21.274303	10.677487	2.573242
-157.70853	21.274303	5.061779	2.6392224
-157.70789	21.274303	0.7906924	2.7052028
-157.70726	21.274303	2.1464105	2.7711833
-157.70662	21.274303	2.9124177	2.8371637
-157.70598	21.274303	4.0830846	2.9031441
-157.70535	21.274303	4.575198	2.9691246
-157.70471	21.274303	5.7235274	3.035105
-157.70407	21.274303	7.2739587	3.1010854
-157.70343	21.274303	10.512138	3.1670659
-157.7028	21.274303	13.054994	3.2330463
-157.70216	21.274303	15.529278	3.2990267
-157.70152	21.274303	19.986403	3.3650072
-157.70088	21.274303	23.354042	3.4309876
-157.70026	21.274303	27.654001	3.4969683
-157.69962	21.274303	34.164482	3.562949
-157.69897	21.274303	42.504646	3.6289296
-157.69833	21.274303	23.953514	3.6949103
-157.69771	21.274303	26.179083	3.760891
-157.69707	21.274303	30.634922	3.8268716
-157.69643	21.274303	56.675915	3.8928523
-157.6958	21.274303	49.66896	3.958833
-157.69516	21.274303	47.4436	4.0248137
-157.69452	21.274303	46.91441	4.090794
-157.69388	21.274303	51.34841	4.1567745
-157.69325	21.274303	54.78708	4.222755
-157.69261	21.274303	54.703712	4.2887354
-157.69197	21.274303	55.677658	4.354716
-157.69133	21.274303	60.254265	4.4206963
-157.6907	21.274303	73.00457	4.4866767
-157.69006	21.274303	82.1346	4.552657
-157.68942	21.274303	74.4466	4.6186376
-157.68878	21.274303	58.838688	4.684618
-157.68816	21.274303	40.027035	4.7505984
-157.68752	21.274303	19.72264	4.816579
-157.68687	21.274303	31.039616	4.8825593
-157.68625	21.274303	30.642572	4.9485397
-157.68561	21.274303	28.876877	5.01452
-157.68497	21.274303	26.94655	5.0805006
-157.68433	21.274303	25.931759	5.146481
-157.6837	21.274303	28.615541	5.2124615
-157.68306	21.274303	-18.660088	5.278442
-157.68242	21.274303	-30.875277	5.3444223
-157.68178	21.274303	-28.426043	5.410403
-157.68115	21.274303	-29.266531	5.4763837
-157.68051	21.274303	-29.612587	5.542364
-157.67987	21.274303	-29.942915	5.6083446
-157.67924	21.274303	-30.3933	5.674325
-157.6786	21.274303	-30.908316	5.7403054
-157.67796	21.274303	-31.472603	5.806286
-157.67732	21.274303	-32.07941	5.8722663
-157.6767	21.274303	-32.63912	5.9382467
-157.67606	21.274303	-33.08935	6.004227
-157.67542	21.274303	-33.437607	6.0702076
-157.67477	21.274303	-33.692448	6.136188
-157.67415	21.274303	-33.866756	6.2021685
-157.67351	21.274303	-34.00953	6.268149
-157.67287	21.274303	-34.16406	6.3341293
-157.67223	21.274303	-34.41027	6.40011
-157.6716	21.274303	-34.760727	6.46609
-157.67096	21.274303	-35.04201	6.5320706
-157.67032	21.274303	-35.236927	6.598051
-157.6697	21.274303	-35.28924	6.6640315
-157.66905	21.274303	-35.420742	6.730012
-157.66841	21.274303	-35.81302	6.7959924
-157.66777	21.274303	-36.16715	6.861973
-157.66714	21.274303	-36.43777	6.9279532
-157.6665	21.274303	-36.70933	6.9939337
-157.66586	21.274303	-37.027985	7.059914
-157.66522	21.274303	-37.491035	7.1258945
-157.6646	21.274303	-37.88803	7.191875
-157.66396	21.274303	-38.114876	7.2578554
-157.66331	21.274303	-38.339382	7.323836
-157.66269	21.274303	-38.571392	7.3898163
-157.66205	21.274303	-38.73175	7.4557967
-157.6614	21.274303	-38.977634	7.521777
-157.66077	21.274303	-39.477077	7.5877576
-157.66014	21.274303	-40.0143	7.653738
-157.6595	21.274303	-40.552864	7.7197185
-157.65886	21.274303	-41.32009	7.785699
-157.65822	21.274303	-42.215694	7.8516793
-157.6576	21.274303	-43.064987	7.9176598
-157.65695	21.274303	-43.870384	7.98364
-157.65631	21.274303	-44.611046	8.049621
-157.65567	21.274303	-45.44599	8.115602
-157.65504	21.274303	-46.45728	8.181582
-157.6544	21.274303	-47.841484	8.247563
-157.65376	21.274303	-49.32323	8.313544
-157.65314	21.274303	-50.53098	8.379525
-157.6525	21.274303	-51.82179	8.445506
-157.65186	21.274303	-53.31122	8.511487
-157.65121	21.274303	-54.785194	8.577468
-157.65059	21.274303	-56.066975	8.643449
-157.64995	21.274303	-56.798805	8.70943
-157.6493	21.274303	-57.225765	8.775411
-157.64867	21.274303	-57.523113	8.841392
-157.64804	21.274303	-57.853237	8.907372
-157.6474	21.274303	-58.310993	8.973353
-157.64676	21.274303	-58.89584	9.039334
-157.64612	21.274303	-59.56637	9.105315
-157.6455	21.274303	-60.22196	9.171296
-157.64485	21.274303	-61.021408	9.237277
-157.64421	21.274303	-62.060856	9.303258
-157.64359	21.274303	-63.143986	9.369239
-157.64294	21.274303	-64.186165	9.43522
-157.6423	21.274303	-65.11714	9.501201
-157.64166	21.274303	-65.36963	9.567182
-157.64104	21.274303	-66.5597	9.6331625
-157.6404	21.274303	-67.48416	9.699143
-157.63976	21.274303	-68.33075	9.765124
-157.63911	21.274303	-69.04448	9.831105
-157.63849	21.274303	-69.5901	9.897086
-157.63785	21.274303	-67.87258	9.963067
-157.6372	21.274303	-68.53575	10.029048
-157.63658	21.274303	-68.98568	10.095029
-157.63594	21.274303	-69.44264	10.16101
-157.6353	21.274303	-69.87785	10.226991
-157.63466	21.274303	-70.38911	10.292972
-157.63403	21.274303	-70.791176	10.3589525
-157.63339	21.274303	-70.73224	10.424933
-157.63275	21.274303	-70.82626	10.490914
-157.63211	21.274303	-71.42467	10.556895
-157.63148	21.274303	-72.057236	10.622876
-157.63084	21.274303	-72.62969	10.688857
-157.6302	21.274303	-73.13195	10.754838
-157.62956	21.274303	-73.48318	10.820819
-157.62894	21.274303	-73.48685	10.8868
-157.6283	21.274303	-74.05138	10.952781
-157.62766	21.274303	-75.41081	11.018762
-157.62703	21.274303	-76.33095	11.084743
-157.62639	21.274303	-76.8018	11.150723
-157.62575	21.274303	-77.075935	11.216704
-157.6251	21.274303	-76.92666	11.282685
-157.62448	21.274303	-76.140495	11.348666
-157.62384	21.274303	-76.112	11.414647
-157.6232	21.274303	-76.9227	11.480628
-157.62256	21.274303	-77.098495	11.546609
-157.62193	21.274303	-77.08393	11.61259
-157.62129	21.274303	-77.671394	11.678571
-157.62065	21.274303	-77.64366	11.744552
-157.62001	21.274303	-76.42786	11.810533
-157.61938	21.274303	-75.5977	11.8765135
-157.61874	21.274303	-75.208	11.942494
-157.6181	21.274303	-74.35534	12.008475
-157.61748	21.274303	-74.2668	12.074456
-157.61684	21.274303	-76.42242	12.140437
-157.6162	21.274303	-77.84975	12.206418
-157.61555	21.274303	-77.67706	12.272399
-157.61493	21.274303	-77.4522	12.33838
-157.61429	21.274303	-77.67806	12.404361
-157.61365	21.274303	-79.39517	12.470342
-157.613	21.274303	-81.07851	12.536323
-157.61238	21.274303	-81.640076	12.6023035
-157.61174	21.274303	-81.81273	12.668284
-157.6111	21.274303	-81.7791	12.734265
-157.61047	21.274303	-81.71237	12.800246
-157.60983	21.274303	-81.77769	12.866227
-157.60919	21.274303	-82.273285	12.932208
-157.60855	21.274303	-82.58905	12.998189
-157.60793	21.274303	-82.46259	13.06417
-157.60728	21.274303	-82.7463	13.130151
-157.60664	21.274303	-83.23043	13.196132
-157.606	21.274303	-83.14358	13.262113
-157.60538	21.274303	-82.75813	13.328094
-157.60474	21.274303	-82.2438	13.394074
-157.6041	21.274303	-81.74058	13.460055
-157.60345	21.274303	-81.35552	13.526036
-157.60283	21.274303	-80.69067	13.592017
-157.60219	21.274303	-80.66301	13.657998
-157.60155	21.274303	-83.26835	13.723979
-157.60092	21.274303	-85.87427	13.78996
-157.60028	21.274303	-86.7675	13.855941
-157.59964	21.274303	-87.36978	13.921922
-157.599	21.274303	-87.90032	13.987903
-157.59837	21.274303	-88.42265	14.053884
-157.59773	21.274303	-88.835175	14.119864
-157.59709	21.274303	-89.0016	14.185845
-157.59645	21.274303	-89.034454	14.251826
-157.59583	21.274303	-89.00098	14.317807
-157.59518	21.274303	-89.05106	14.383788
-157.59454	21.274303	-89.20465	14.449769
-157.59392	21.274303	-89.47221	14.51575
-157.59328	21.274303	-89.738914	14.581731
-157.59264	21.274303	-89.8812	14.647712
-157.592	21.274303	-90.19781	14.713693
-157.59137	21.274303	-90.6848	14.779674
-157.59073	21.274303	-90.85133	14.8456545
-157.59009	21.274303	-90.85327	14.911635
-157.58945	21.274303	-90.962166	14.977616
-157.58882	21.274303	-91.051575	15.043597
-157.58818	21.274303	-91.07133	15.109578
-157.58754	21.274303	-91.04883	15.175559
-157.5869	21.274303	-91.00512	15.24154
-157.58627	21.274303	-90.99996	15.307521
-157.58563	21.274303	-90.9923	15.373502
-157.58499	21.274303	-90.88276	15.439483
-157.58437	21.274303	-91.13494	15.505464
-157.58372	21.274303	-91.85501	15.5714445
-157.58308	21.274303	-92.05545	15.637425
-157.58244	21.274303	-91.972466	15.703406
-157.58182	21.274303	-92.183525	15.769387
-157.58118	21.274303	-92.823616	15.835368
-157.58054	21.274303	-94.08239	15.901349
-157.5799	21.274303	-96.12817	15.96733
-157.57927	21.274303	-99.20183	16.03331
-157.57863	21.274303	-103.90641	16.09929
-157.57799	21.274303	-109.94147	16.165272
-157.57735	21.274303	-116.98096	16.231253
-157.57672	21.274303	-124.598526	16.297234
-157.57608	21.274303	-132.4286	16.363214
-157.57544	21.274303	-140.96681	16.429195
-157.57481	21.274303	-149.45581	16.495176
-157.57417	21.274303	-156.00688	16.561157
-157.57353	21.274303	-160.80145	16.627138
-157.57289	21.274303	-163.72826	16.69312
-157.57227	21.274303	-165.89868	16.7591
-157.57162	21.274303	-167.92499	16.82508
-157.57098	21.274303	-169.74571	16.891062
-157.57034	21.274303	-171.98038	16.957043
-157.56972	21.274303	-175.77437	17.023024
-157.56908	21.274303	-180.50822	17.089005
-157.56844	21.274303	-184.8659	17.154985
-157.56781	21.274303	-188.71863	17.220966
-157.56717	21.274303	-191.765	17.286947
-157.56653	21.274303	-194.92729	17.352928
-157.56589	21.274303	-197.3876	17.41891
-157.56526	21.274303	-201.5682	17.48489
-157.56462	21.274303	-205.61075	17.55087
-157.56398	21.274303	-208.72299	17.616852
-157.56334	21.274303	-213.33446	17.682833
-157.56271	21.274303	-219.26254	17.748814
-157.56207	21.274303	-225.51747	17.814795
-157.56143	21.274303	-231.26994	17.880775
-157.56079	21.274303	-235.41988	17.946756
-157.56017	21.274303	-239.7896	18.012737
-157.55952	21.274303	-244.94643	18.078718
-157.55888	21.274303	-250.10439	18.1447
-157.55826	21.274303	-255.57178	18.21068
-157.55762	21.274303	-261.98486	18.27666
-157.55698	21.274303	-268.8009	18.342642
-157.55634	21.274303	-275.67975	18.408623
-157.55571	21.274303	-283.0781	18.474604
-157.55507	21.274303	-291.04587	18.540585
-157.55443	21.274303	-299.61588	18.606565
-157.55379	21.274303	-308.34674	18.672546
-157.55316	21.274303	-316.7323	18.738527
-157.55252	21.274303	-324.6689	18.804508
-157.55188	21.274303	-332.10364	18.87049
-157.55124	21.274303	-340.04138	18.93647
-157.55061	21.274303	-348.25586	19.00245
-157.54997	21.274303	-355.92352	19.068432
-157.54933	21.274303	-363.20285	19.134413
-157.5487	21.274303	-370.14886	19.200394
-157.54807	21.274303	-376.8006	19.266375
-157.54742	21.274303	-383.29495	19.332355
-157.54678	21.274303	-390.0284	19.398336
-157.54616	21.274303	-397.0911	19.464317
-157.54552	21.274303	-404.77478	19.530298
-157.54488	21.274303	-412.17413	19.59628
-157.54424	21.274303	-418.66864	19.66226
-157.54361	21.274303	-425.1184	19.728241
-157.54297	21.274303	-431.57693	19.794222
-157.54233	21.274303	-437.65286	19.860203
-157.5417	21.274303	-443.58273	19.926184
-157.54106	21.274303	-449.55542	19.992165
-157.54042	21.274303	-456.00186	20.058146
-157.53978	21.274303	-462.97705	20.124126
-157.53915	21.274303	-469.19684	20.190107
-157.53851	21.274303	-474.23648	20.256088
-157.53787	21.274303	-477.31763	20.32207
