Longitude	Latitude	Elevation, m	Distance (km)
-157.7	21.292364	3.3030143	0.0
-157.69968	21.292364	3.0123804	0.032942533
-157.69937	21.292364	2.089777	0.0658852
-157.69905	21.292364	7.1017227	0.09882787
-157.69873	21.292364	7.4196153	0.13177054
-157.69841	21.292364	-0.22850701	0.16471334
-157.69809	21.292366	7.092649	0.197656
-157.69777	21.292366	5.98244	0.23059854
-157.69745	21.292366	2.9030263	0.26354092
-157.69714	21.292366	2.9983695	0.2964836
-157.69682	21.292366	3.0661135	0.3294263
-157.6965	21.292366	2.6437812	0.36236882
-157.69618	21.292366	2.021341	0.3953115
-157.69586	21.292366	0.92149895	0.4282542
-157.69554	21.292366	7.1489553	0.46119687
-157.69524	21.292366	16.6258	0.49413955
-157.69492	21.292366	16.368313	0.5270821
-157.6946	21.292368	7.4822845	0.56002474
-157.69427	21.292368	1.3842132	0.5929674
-157.69395	21.292368	0.88351655	0.6259099
-157.69363	21.292368	1.2491868	0.65885276
-157.69333	21.292368	2.0749867	0.6917954
-157.69301	21.292368	2.3892212	0.72473806
-157.69269	21.292368	3.2947822	0.7576807
-157.69237	21.292368	3.8097217	0.79062337
-157.69205	21.292368	5.0335727	0.823566
-157.69173	21.292368	6.1812396	0.8565087
-157.69142	21.292368	7.6614957	0.8894513
-157.6911	21.29237	10.074809	0.92239416
-157.69078	21.29237	12.446541	0.9553368
-157.69046	21.29237	14.18747	0.98827946
-157.69014	21.29237	15.318263	1.0212221
-157.68982	21.29237	16.386063	1.0541646
-157.68951	21.29237	18.329313	1.0871072
-157.6892	21.29237	19.48227	1.1200498
-157.68887	21.29237	20.607328	1.1529926
-157.68855	21.29237	22.291847	1.1859354
-157.68823	21.29237	24.017698	1.218878
-157.68791	21.29237	25.261084	1.2518207
-157.6876	21.292372	27.533964	1.2847633
-157.68729	21.292372	28.984411	1.317706
-157.68697	21.292372	30.57058	1.3506485
-157.68665	21.292372	32.483025	1.3835912
-157.68633	21.292372	33.767616	1.4165338
-157.686	21.292372	37.520252	1.4494762
-157.68568	21.292372	42.853207	1.4824189
-157.68538	21.292372	50.163006	1.5153615
-157.68506	21.292372	55.05921	1.5483042
-157.68474	21.292372	57.835766	1.5812467
-157.68442	21.292372	55.42741	1.6141894
-157.6841	21.292372	53.60946	1.647132
-157.68378	21.292374	60.539173	1.6800747
-157.68347	21.292374	66.20144	1.7130173
-157.68315	21.292374	72.40678	1.74596
-157.68283	21.292374	76.65614	1.7789026
-157.68251	21.292374	79.83362	1.8118453
-157.68219	21.292374	79.386566	1.844788
-157.68187	21.292374	77.396736	1.8777306
-157.68156	21.292374	80.94796	1.9106733
-157.68124	21.292374	85.80484	1.9436159
-157.68092	21.292374	93.63116	1.9765586
-157.6806	21.292374	106.974846	2.0095012
-157.68028	21.292374	112.11326	2.0424438
-157.67996	21.292376	99.146835	2.0753865
-157.67966	21.292376	72.23164	2.1083293
-157.67934	21.292376	60.042683	2.141272
-157.67902	21.292376	55.02014	2.1742146
-157.6787	21.292376	52.837215	2.2071574
-157.67838	21.292376	50.589108	2.2401001
-157.67805	21.292376	49.54852	2.273043
-157.67775	21.292376	48.4505	2.3059857
-157.67743	21.292376	47.319485	2.3389285
-157.67711	21.292376	48.813908	2.3718712
-157.67679	21.292376	50.438023	2.404814
-157.67647	21.292376	55.11632	2.4377568
-157.67615	21.292376	54.39835	2.4706995
-157.67584	21.292377	40.082806	2.5036423
-157.67552	21.292377	30.245522	2.536585
-157.6752	21.292377	25.593357	2.5695279
-157.67488	21.292377	24.37275	2.6024706
-157.67456	21.292377	23.763885	2.6354134
-157.67424	21.292377	23.847717	2.6683562
-157.67392	21.292377	23.022305	2.701299
-157.67361	21.292377	21.825624	2.7342417
-157.6733	21.292377	20.673393	2.7671845
-157.67297	21.292377	19.420956	2.8001273
-157.67265	21.292377	17.803228	2.83307
-157.67233	21.292377	17.341497	2.8660128
-157.67201	21.292377	15.52544	2.8989556
-157.6717	21.292377	14.175917	2.9318984
-157.67139	21.29238	12.770355	2.9648411
-157.67107	21.29238	11.756858	2.997784
-157.67075	21.29238	12.026801	3.0307267
-157.67043	21.29238	12.127847	3.0636694
-157.6701	21.29238	12.086561	3.0966122
-157.6698	21.29238	12.060034	3.1295552
-157.66948	21.29238	11.041769	3.162498
-157.66916	21.29238	9.871646	3.1954408
-157.66884	21.29238	8.863756	3.2283833
-157.66852	21.29238	8.854088	3.2613258
-157.6682	21.29238	8.749589	3.2942686
-157.6679	21.29238	8.867795	3.3272114
-157.66757	21.29238	8.111721	3.360154
-157.66725	21.29238	6.9682784	3.3930967
-157.66693	21.29238	6.7255654	3.4260395
-157.66661	21.292381	5.55957	3.4589822
-157.66629	21.292381	4.9773884	3.491925
-157.66599	21.292381	4.208929	3.5248678
-157.66566	21.292381	4.0161815	3.5578105
-157.66534	21.292381	3.790272	3.590753
-157.66502	21.292381	2.882332	3.6236959
-157.6647	21.292381	2.952409	3.6566384
-157.66438	21.292381	3.0003438	3.6895812
-157.66406	21.292381	2.9383283	3.722524
-157.66376	21.292381	2.0478706	3.7554665
-157.66344	21.292381	2.1245084	3.788409
-157.66312	21.292381	1.7253188	3.8213518
-157.6628	21.292381	0.94249445	3.8542945
-157.66248	21.292381	1.0	3.8872373
-157.66216	21.292381	1.0	3.92018
-157.66185	21.292381	1.0	3.9531229
-157.66153	21.292383	0.98527056	3.9860656
-157.66121	21.292383	1.4543347	4.0190086
-157.66089	21.292383	3.8506746	4.0519514
-157.66057	21.292383	3.640669	4.0848937
-157.66025	21.292383	3.462633	4.1178365
-157.65994	21.292383	3.4392817	4.1507792
-157.65962	21.292383	3.3552618	4.183722
-157.6593	21.292383	3.2168097	4.216665
-157.65898	21.292383	3.0417764	4.2496076
-157.65866	21.292383	2.9056668	4.2825503
-157.65834	21.292383	2.3783708	4.315493
-157.65804	21.292383	1.9672192	4.348436
-157.65771	21.292383	1.5123562	4.381378
-157.6574	21.292383	1.0395745	4.414321
-157.65707	21.292383	0.31007627	4.4472637
-157.65675	21.292383	-3.5407295	4.4802065
-157.65643	21.292383	-3.6422455	4.5131493
-157.65613	21.292385	-4.0001397	4.546092
-157.6558	21.292385	-4.3590393	4.579035
-157.65549	21.292385	-4.7175217	4.6119776
-157.65517	21.292385	-5.087572	4.64492
-157.65485	21.292385	-5.480115	4.6778626
-157.65453	21.292385	-5.8764105	4.710805
-157.65422	21.292385	-6.2928677	4.7437477
-157.6539	21.292385	-6.781544	4.77669
-157.65358	21.292385	-7.4023905	4.809633
-157.65326	21.292385	-8.139057	4.842575
-157.65294	21.292385	-8.895036	4.875518
-157.65262	21.292385	-9.579186	4.9084606
-157.6523	21.292385	-10.198626	4.941403
-157.652	21.292385	-10.779758	4.9743457
-157.65167	21.292385	-11.309099	5.0072885
-157.65135	21.292385	-11.71325	5.0402308
-157.65103	21.292385	-12.010235	5.0731735
-157.65071	21.292385	-12.375254	5.1061163
-157.65039	21.292385	-12.972085	5.139059
-157.65009	21.292387	-13.7941475	5.172002
-157.64977	21.292387	-14.76302	5.2049446
-157.64944	21.292387	-15.836953	5.237887
-157.64912	21.292387	-17.034798	5.2708297
-157.6488	21.292387	-18.361012	5.3037724
-157.64848	21.292387	-19.730831	5.336715
-157.64818	21.292387	-21.09646	5.369658
-157.64786	21.292387	-22.50223	5.402601
-157.64754	21.292387	-23.892746	5.4355435
-157.64722	21.292387	-25.155432	5.468486
-157.6469	21.292387	-26.191502	5.501428
-157.64658	21.292387	-27.08635	5.5343704
-157.64627	21.292387	-28.026844	5.567313
-157.64595	21.292387	-29.175278	5.600256
-157.64563	21.292387	-30.511883	5.6331987
-157.64531	21.292387	-31.892187	5.6661415
-157.64499	21.292387	-33.175915	5.6990843
-157.64467	21.292387	-34.331394	5.732027
-157.64436	21.292387	-35.421852	5.76497
-157.64404	21.292387	-36.470848	5.7979126
-157.64372	21.292387	-37.496468	5.830855
-157.6434	21.292389	-38.492256	5.8637977
-157.64308	21.292389	-39.44562	5.8967404
-157.64276	21.292389	-40.34695	5.929683
-157.64244	21.292389	-41.20156	5.9626255
-157.64214	21.292389	-42.00705	5.9955683
-157.64182	21.292389	-42.74673	6.028511
-157.6415	21.292389	-43.40973	6.0614533
-157.64117	21.292389	-44.00145	6.0943956
-157.64085	21.292389	-44.53065	6.1273384
-157.64053	21.292389	-45.00522	6.160281
-157.64023	21.292389	-45.427174	6.193224
-157.63991	21.292389	-45.79072	6.2261667
-157.63959	21.292389	-46.090973	6.259109
-157.63927	21.292389	-46.30436	6.2920513
-157.63895	21.292389	-46.43677	6.324994
-157.63863	21.292389	-46.543163	6.3579364
-157.63832	21.292389	-46.674026	6.390879
-157.638	21.292389	-46.824707	6.423822
-157.63768	21.292389	-46.97603	6.4567647
-157.63736	21.292389	-47.125328	6.4897075
-157.63704	21.292389	-47.263813	6.5226502
-157.63672	21.292389	-47.39584	6.5555925
-157.63641	21.292389	-47.539944	6.588535
-157.6361	21.292389	-47.720554	6.6214776
-157.63577	21.292389	-47.94841	6.6544204
-157.63545	21.292389	-48.182167	6.687363
-157.63513	21.29239	-48.367287	6.7203054
-157.63481	21.29239	-48.46183	6.7532477
-157.6345	21.29239	-48.503365	6.7861905
-157.63419	21.29239	-48.565384	6.8191333
-157.63387	21.29239	-48.716335	6.852076
-157.63354	21.29239	-48.95271	6.885019
-157.63322	21.29239	-49.203484	6.9179616
-157.6329	21.29239	-49.393986	6.950904
-157.6326	21.29239	-49.482647	6.9838467
-157.63228	21.29239	-49.521828	7.0167894
-157.63196	21.29239	-49.58778	7.0497317
-157.63164	21.29239	-49.74211	7.0826745
-157.63132	21.29239	-49.968323	7.1156173
-157.631	21.29239	-50.209984	7.14856
-157.63068	21.29239	-50.4146	7.181503
-157.63037	21.29239	-50.57041	7.214445
-157.63005	21.29239	-50.705353	7.2473874
-157.62973	21.29239	-50.83655	7.28033
-157.62941	21.29239	-50.9974	7.313273
-157.62909	21.29239	-51.183704	7.3462157
-157.62877	21.29239	-51.328957	7.3791585
-157.62846	21.29239	-51.358997	7.4121013
-157.62814	21.29239	-51.233204	7.445044
-157.62782	21.29239	-51.03213	7.477987
-157.6275	21.29239	-50.873947	7.5109296
-157.62718	21.29239	-50.80053	7.5438724
-157.62686	21.29239	-50.76992	7.5768147
-157.62656	21.29239	-50.795605	7.6097574
-157.62624	21.29239	-50.8866	7.6427
-157.62592	21.29239	-51.018433	7.675643
-157.6256	21.29239	-51.226418	7.7085857
-157.62527	21.29239	-51.581863	7.7415285
-157.62495	21.29239	-52.16315	7.7744713
-157.62465	21.29239	-52.923676	7.807414
-157.62433	21.292393	-53.720993	7.840357
-157.62401	21.292393	-54.444225	7.873299
