Longitude	Latitude	Elevation, m	Distance (km)
-157.79622	21.430555	-10.876206	0.0
-157.7956	21.430546	-11.437065	0.06588356
-157.79495	21.430538	-11.604746	0.13176726
-157.79431	21.430529	-11.724237	0.19765082
-157.79369	21.43052	-11.762964	0.2635343
-157.79305	21.430511	-12.046788	0.32941788
-157.7924	21.430502	-12.500992	0.39530146
-157.79176	21.430492	-13.564732	0.46118516
-157.79114	21.430483	-14.699113	0.52706885
-157.7905	21.430475	-11.706057	0.59295255
-157.78986	21.430466	-1.2362633	0.65883625
-157.78923	21.430456	-0.031513445	0.72472
-157.78859	21.430449	-0.09231359	0.79060364
-157.78795	21.430439	-0.24816117	0.8564873
-157.78731	21.43043	-4.387314	0.922371
-157.78668	21.430422	-14.115621	0.98825467
-157.78604	21.430412	-12.072632	1.0541383
-157.7854	21.430403	-4.4282227	1.120022
-157.78477	21.430395	-3.007908	1.1859057
-157.78413	21.430386	-6.912886	1.2517893
-157.7835	21.430376	-12.946063	1.317673
-157.78285	21.430368	-13.186345	1.3835567
-157.78223	21.430359	-13.901952	1.4494405
-157.78159	21.43035	-14.216223	1.5153241
-157.78094	21.430342	-14.20258	1.5812078
-157.78032	21.430332	-14.184801	1.6470914
-157.77968	21.430323	-14.11472	1.712975
-157.77904	21.430315	-14.08009	1.7788587
-157.7784	21.430305	-13.734932	1.8447423
-157.77777	21.430296	-13.923116	1.910626
-157.77713	21.430288	-13.750563	1.9765098
-157.77649	21.430279	-13.599165	2.0423937
-157.77586	21.43027	-13.149197	2.1082776
-157.77522	21.43026	-12.645596	2.1741614
-157.77458	21.430252	-12.174773	2.240045
-157.77396	21.430243	-12.733638	2.305929
-157.77332	21.430233	-12.462985	2.3718128
-157.77267	21.430225	-12.268992	2.4376967
-157.77203	21.430216	-12.3616905	2.5035803
-157.77141	21.430206	-11.371043	2.5694642
-157.77077	21.430199	-10.836915	2.635348
-157.77013	21.43019	-9.502681	2.7012317
-157.7695	21.43018	-2.648335	2.7671156
-157.76886	21.430172	-2.1037803	2.8329995
-157.76822	21.430162	-1.0487168	2.8988833
-157.76758	21.430153	0.015674107	2.9647672
-157.76695	21.430145	1.0686713	3.030651
-157.76631	21.430136	2.0948	3.096535
-157.76567	21.430126	3.076511	3.1624188
-157.76505	21.430119	3.6232717	3.2283027
-157.7644	21.430109	6.6267195	3.2941866
-157.76376	21.4301	6.9408097	3.3600705
-157.76312	21.430092	4.866393	3.4259543
-157.7625	21.430082	5.2057405	3.4918382
-157.76186	21.430073	8.673611	3.557722
-157.76122	21.430065	10.481261	3.623606
-157.76059	21.430056	5.7154694	3.6894898
-157.75995	21.430046	8.006987	3.7553737
-157.75931	21.430038	8.099153	3.8212576
-157.75867	21.430029	6.164738	3.8871415
-157.75804	21.43002	9.236373	3.9530253
-157.7574	21.43001	13.142087	4.0189095
-157.75676	21.430002	10.37425	4.084793
-157.75613	21.429993	7.186769	4.150677
-157.7555	21.429983	4.8614254	4.216561
-157.75485	21.429976	3.6992989	4.2824445
-157.75421	21.429966	4.1146216	4.3483286
-157.75359	21.429956	7.151294	4.4142127
-157.75294	21.429949	3.0836012	4.480097
-157.7523	21.42994	0.7982293	4.5459805
-157.75168	21.42993	0.989907	4.611864
-157.75104	21.429922	1.2298898	4.6777477
-157.7504	21.429913	6.358543	4.7436314
-157.74977	21.429903	2.1807296	4.8095155
-157.74913	21.429895	0.86598295	4.8753996
-157.74849	21.429886	0.47855482	4.941283
-157.74785	21.429876	0.36695737	5.0071673
-157.74722	21.429869	1.1785923	5.0730515
-157.74658	21.42986	1.8886895	5.1389356
-157.74594	21.42985	3.3668823	5.2048197
-157.74532	21.429842	6.4980416	5.270704
-157.74467	21.429832	8.107017	5.336588
-157.74403	21.429823	10.622315	5.4024715
-157.7434	21.429815	10.269014	5.4683557
-157.74277	21.429806	6.705622	5.53424
-157.74213	21.429796	3.7454782	5.600124
-157.74149	21.429787	0.57220554	5.666008
-157.74086	21.42978	0.9187486	5.731892
-157.74022	21.42977	0.98787564	5.797776
-157.73958	21.42976	1.0004448	5.8636603
-157.73894	21.429752	1.0001911	5.9295444
-157.73831	21.429743	0.78017706	5.995428
-157.73767	21.429733	-0.9155133	6.0613117
-157.73703	21.429726	-1.2132802	6.127196
-157.7364	21.429716	-2.1110878	6.19308
-157.73576	21.429707	-2.8497322	6.258964
-157.73512	21.429699	-3.432604	6.324848
-157.73448	21.42969	-3.9081867	6.3907323
-157.73386	21.42968	-4.4479957	6.4566164
-157.73322	21.429672	-5.199441	6.5225005
-157.73257	21.429663	-5.7528114	6.5883846
-157.73195	21.429653	-6.137997	6.6542687
-157.73131	21.429646	-6.7962017	6.720153
-157.73067	21.429636	-7.543906	6.786037
-157.73004	21.429626	-8.178498	6.851921
-157.7294	21.429619	-8.723873	6.917805
-157.72876	21.42961	-9.174388	6.9836893
-157.72812	21.4296	-9.491713	7.0495734
-157.7275	21.429592	-9.785181	7.1154575
-157.72685	21.429583	-10.3245945	7.1813416
-157.72621	21.429573	-10.947115	7.2472258
-157.72559	21.429565	-11.5490465	7.31311
-157.72495	21.429556	-12.011357	7.378994
-157.7243	21.429546	-12.293353	7.444878
-157.72366	21.429537	-12.470128	7.510762
-157.72304	21.42953	-12.631602	7.5766463
-157.7224	21.42952	-12.879222	7.6425304
-157.72176	21.42951	-13.328288	7.7084146
-157.72113	21.429502	-14.075401	7.7742987
-157.72049	21.429493	-14.830517	7.840183
-157.71985	21.429483	-15.576209	7.906067
-157.71921	21.429476	-16.206905	7.971951
-157.71858	21.429466	-17.375366	8.037835
-157.71794	21.429457	-19.931938	8.103719
-157.7173	21.42945	-23.072983	8.169602
-157.71667	21.42944	-26.47054	8.235486
-157.71603	21.42943	-30.235922	8.30137
-157.7154	21.429422	-34.34945	8.367253
-157.71475	21.429413	-38.873833	8.433138
-157.71413	21.429403	-43.262974	8.4990225
-157.71349	21.429396	-46.897373	8.564907
-157.71284	21.429386	-52.01227	8.630791
-157.71222	21.429377	-58.79571	8.696675
-157.71158	21.429369	-63.609764	8.76256
-157.71094	21.42936	-68.797195	8.828444
-157.71031	21.42935	-77.64112	8.894328
-157.70967	21.429342	-90.92138	8.960213
-157.70903	21.429333	-109.51514	9.026097
-157.70839	21.429323	-125.52369	9.091981
-157.70776	21.429316	-138.37042	9.157865
-157.70712	21.429306	-152.80103	9.223748
-157.70648	21.429296	-166.22668	9.289633
-157.70586	21.429287	-175.92351	9.355517
-157.70522	21.42928	-181.69342	9.421402
-157.70457	21.42927	-183.87523	9.487287
-157.70393	21.42926	-187.59929	9.553171
-157.70331	21.429253	-192.48093	9.619055
-157.70267	21.429243	-194.74687	9.684938
-157.70203	21.429234	-201.11717	9.750822
-157.7014	21.429226	-217.08736	9.816707
-157.70076	21.429216	-239.7708	9.882591
-157.70012	21.429207	-265.2531	9.948476
-157.69948	21.4292	-282.3614	10.014359
-157.69885	21.42919	-289.60678	10.080244
-157.69821	21.42918	-284.9607	10.146129
