"","tag_id","species","fork_length","tagging_location","tag_id","tagging_study_date","first_transmission","last_transmission","time_at_liberty","time_between_first_and_last_transmissions","tagging_date","study_date","#_of_detections","%_of_all_detections","all_detections_per_day[, -1]","all_unique_days[, -1]","all_movements[, -1]","all_movements_per_day[, -1]","BRFA_crossings","BRFA_crossings_per_day","all_distance_traveled[, -1]","all_distance_per_day[, -1]","receivers_detected","receivers_detected_per_day"
"1",37970,"Opakapaka",46,"Penguin Banks-Mound",37970,0,3,4,4,1,"2012-04-13 14:09:00","0",62,0.560325350203344,12.4,3,0,0,0,0,1.25573072738266,0.313932681845666,1,0.25
"2",37971,"Opakapaka",34,"Penguin Banks-Mound",37971,1,1,1,1,1,"2012-04-13 15:21:00","0.05",7,0.0632625395390872,3.5,1,0,0,0,0,1.08566121611288,1.08566121611288,1,1
"3",37975,"Opakapaka",33,"Penguin Banks-2nd Finger",37975,99,279,279,181,0,"2012-07-20 16:04:00","98.0798611111111",2,0.0180750112968821,0.010989010989011,2,0,0,0,0,3.33343139219086,0.0184167480231539,1,0.00552486187845304
"4",57455,"Opakapaka",61,"Makapuu",57455,203,345,678,476,333,"2012-11-01 22:19:00","202.340277777778",2280,20.6055128784455,4.77987421383648,232,0,0,0,0,0.967386723017236,0.00203232504835554,1,0.00210084033613445
"5",57457,"Opakapaka",46,"Makapuu",57457,203,359,682,480,324,"2012-11-01 22:33:00","202.35",2778,25.1061906913692,5.77546777546778,121,0,0,0,0,0.967386723017236,0.00201538900628591,1,0.00208333333333333
"6",57458,"Opakapaka",40,"Makapuu",57458,203,603,626,424,24,"2012-11-01 22:48:00","202.360416666667",20,0.180750112968821,0.0470588235294118,10,0,0,0,0,0.967386723017236,0.00228157245994631,1,0.00235849056603774
"7",57463,"Opakapaka",30,"Makapuu",57463,203,205,205,3,1,"2012-11-02","202.410416666667",4,0.0361500225937641,1,2,0,0,0,0,0.967386723017236,0.322462241005745,1,0.333333333333333
"8",57464,"Opakapaka",55,"Makapuu",57464,205,285,285,81,1,"2012-11-03 20:24:00","204.260416666667",14,0.126525079078174,0.170731707317073,2,0,0,0,0,41.060448104532,0.50691911240163,1,0.0123456790123457
"9",37980,"Opakapaka",54,"Makapuu",37980,205,222,224,19,2,"2012-11-04 00:43:00","204.440277777778",8,0.0723000451875282,0.4,3,0,0,1,0.0526315789473684,4.60188939561355,0.242204705032292,1,0.0526315789473684
"10",37960,"Opakapaka",30,"Penguin Banks",37960,224,224,766,543,543,"2012-11-22 20:38:00","223.270138888889",5505,49.7514685946679,10.1194852941176,164,2,0.00368324125230203,0,0,4.93471991753219,0.00908788198440551,2,0.00368324125230203
"11",37961,"Opakapaka",39,"Penguin Banks",37961,224,224,284,60,60,"2012-11-23 02:52:00","223.529861111111",237,2.14188883868052,3.88524590163934,5,0,0,0,0,1.9225513567688,0.0320425226128134,1,0.0166666666666667
"12",37940,"Opakapaka",40,"Makapuu",37940,233,557,732,499,175,"2012-12-02 05:31:00","232.640277777778",129,1.16583822864889,0.258,61,0,0,1,0.00200400801603206,3.10235545354666,0.00621714519748829,1,0.00200400801603206
"13",37950,"Opakapaka",49,"penguin banks",37950,275,282,282,8,1,"2013-01-13 00:28:00","274.429861111111",7,0.0632625395390872,0.777777777777778,2,0,0,1,0.125,21.159603347789,2.64495041847363,1,0.125
"14",37952,"Opakapaka",42,"penguin banks",37952,275,284,284,9,1,"2013-01-13 00:57:00","274.45",5,0.0451875282422052,0.5,2,0,0,1,0.111111111111111,6.45565650268348,0.717295166964831,1,0.111111111111111
"15",37955,"Opakapaka",52,"penguin banks",37955,275,275,275,1,0,"2013-01-13 02:09:00","274.5",2,0.0180750112968821,1,1,0,0,1,1,6.30651473807217,6.30651473807217,1,1
"16",37958,"Opakapaka",48,"penguin banks",37958,275,284,284,9,1,"2013-01-13 03:07:00","274.540277777778",5,0.0451875282422052,0.5,2,0,0,1,0.111111111111111,6.46307040258693,0.71811893362077,1,0.111111111111111
