,,,,,,,,,,,,,,Fork Length,first_transmission,last_transmission,time_between_first_and_last_transmissions,tagging_date,study_date
,,,,,,,,,,,,,,46,3,4,1,4/13/12 14:09,0
,,,,,,,,,,,,,,34,1,1,1,4/13/12 15:21,0.05
,,,,,,,,,,,,,,33,279,279,0,7/20/12 16:04,98.07986111
,,,,,,,,,,,,,,61,345,678,333,11/1/12 22:19,202.3402778
,,,,,,,,,,,,,,46,359,682,324,11/1/12 22:33,202.35
,,,,,,,,,,,,,,40,603,626,24,11/1/12 22:48,202.3604167
,,,,,,,,,,,,,,30,205,205,1,11/2/12,202.4104167
,,,,,,,,,,,,,,55,285,285,1,11/3/12 20:24,204.2604167
,,,,,,,,,,,,,,54,222,224,2,11/4/12 0:43,204.4402778
,,,,,,,,,,,,,,30,224,766,543,11/22/12 20:38,223.2701389
,,,,,,,,,,,,,,39,224,284,60,11/23/12 2:52,223.5298611
,,,,,,,,,,,,,,40,557,732,175,12/2/12 5:31,232.6402778
,,,,,,,,,,,,,,49,282,282,1,1/13/13 0:28,274.4298611
,,,,,,,,,,,,,,42,284,284,1,1/13/13 0:57,274.45
,,,,,,,,,,,,,,52,275,275,0,1/13/13 2:09,274.5
,,,,,,,,,,,,,,48,284,284,1,1/13/13 3:07,274.5402778
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Tag ID,Tagging Date,Days At Liberty,# Detections,% of Detections,Detections/Day,Unique Days,Distance Tracked,Distance/Day,# Receivers,Movements,Movements/Day,BRFA Crossings,BRFA Crossing/Day,,,,,
,37970,1,4,62,0.56032535,12.4,3,1.255730727,0.313932682,1,0,0,0,0,,,,,
,37971,1,1,7,0.06326254,3.5,1,1.085661216,1.085661216,1,0,0,0,0,,,,,
,37975,99,181,2,0.018075011,0.010989011,2,3.333431392,0.018416748,1,0,0,0,0,,,,,
,57455,203,476,2280,20.60551288,4.779874214,232,0.967386723,0.002032325,1,0,0,0,0,,,,,
,57457,203,480,2778,25.10619069,5.775467775,121,0.967386723,0.002015389,1,0,0,0,0,,,,,
,57458,203,424,20,0.180750113,0.047058824,10,0.967386723,0.002281572,1,0,0,0,0,,,,,
,57463,203,3,4,0.036150023,1,2,0.967386723,0.322462241,1,0,0,0,0,,,,,
,57464,205,81,14,0.126525079,0.170731707,2,41.0604481,0.506919112,1,0,0,0,0,,,,,
,37980,205,19,8,0.072300045,0.4,3,4.601889396,0.242204705,1,0,0,1,0.052631579,,,,,
,37960,224,543,5505,49.75146859,10.11948529,164,4.934719918,0.009087882,2,2,0.003683241,0,0,,,,,
,37961,224,60,237,2.141888839,3.885245902,5,1.922551357,0.032042523,1,0,0,0,0,,,,,
,37940,233,499,129,1.165838229,0.258,61,3.102355454,0.006217145,1,0,0,1,0.002004008,,,,,
,37950,275,8,7,0.06326254,0.777777778,2,21.15960335,2.644950418,1,0,0,1,0.125,,,,,
,37952,275,9,5,0.045187528,0.5,2,6.455656503,0.717295167,1,0,0,1,0.111111111,,,,,
,37955,275,1,2,0.018075011,1,1,6.306514738,6.306514738,1,0,0,1,1,,,,,
,37958,275,9,5,0.045187528,0.5,2,6.463070403,0.718118934,1,0,0,1,0.111111111,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
