"","serviced","station_name","consecutive_deployment_number","deployment_date","recovery_date","downloaded","in_data_set","lat_deg","lat_min","lon_deg","lon_min","depth","vr2w_serial","acoustic_release_serial","acoustic_release_battery_life","acoustic_release_voltage_at_deployment","acoustic_release_serial_code","temperature_logger_serial","location_code","deployed_by","recovered_by","comments_deployment","comments_recovery","X","X.1","X.2","lat","lon","deployment_study_date","recovery_study_date"
"1",1,"Oahu - Waianae","",2011-08-12 00:00:00,2012-11-30 00:00:00,"Y",1,21,25.101,-158,12.526,NA,102201,"","",NA,"","",12,"",NA,"Reconstructed from Receiver Logs. Possition is approximate and deployment recovery dates are estimates",NA,NA,NA,NA,21.41835,-158.208766666667,-245.589583333333,230.410416666667
"2",1,"Oahu - Power Plant","",2011-08-12 00:00:00,2012-11-28 00:00:00,"Y",1,21,20.978,-158,8.963,NA,102202,"","",NA,"","",11,"",NA,"Reconstructed from Receiver Logs. Possition is approximate and deployment recovery dates are estimates",NA,NA,NA,NA,21.3496333333333,-158.149383333333,-245.589583333333,228.410416666667
"3",1,"Oahu - Kaena Pocket","",2011-08-16 00:00:00,2012-11-29 00:00:00,"Y",1,21,32.867,-158,16.366,NA,102200,"","",NA,"","",13,"",NA,"Reconstructed from Receiver Logs. Possition is approximate and deployment recovery dates are estimates",NA,NA,NA,NA,21.5477833333333,-158.272766666667,-241.589583333333,229.410416666667
"4",1,"Oahu - Ko olina","",2011-09-18 00:00:00,2012-11-29 00:00:00,"Y",1,21,15.888,-158,6.555,327.8,103909,"","",NA,"","",10,"",NA,"Reconstructed from Receiver Logs. Possition is approximate and deployment recovery dates are estimates",NA,NA,NA,NA,21.2648,-158.10925,-208.589583333333,229.410416666667
"5",1,"Oahu - Barber's Flats","",2011-09-18 00:00:00,2012-11-29 00:00:00,"Y",1,21,14.242,-158,1.608,343,103910,"","",NA,"","",9,"",NA,"Reconstructed from Receiver Logs. Possition is approximate and deployment recovery dates are estimates",NA,NA,NA,NA,21.2373666666667,-158.0268,-208.589583333333,229.410416666667
"6",1,"Cross 11","1",2011-10-01 00:00:00,2013-10-11 00:00:00,"Y",1,18,42.528,-158,16.943,376,104541,"258477-003","",NA,"002-1","",211,"Gray",NA,"376m depth",18.7088,-158.2823833,NA,NA,18.7088,-158.282383333333,-195.589583333333,545.410416666667
"7",1,"Cross 4","3",2011-10-01 00:00:00,2013-10-11 00:00:00,"Y",1,18,43.187,-158,14.66,NA,104543,"258477-004","",NA,"004-1","",204,"Gray",NA,"",18.71978333,-158.2443333,NA,NA,18.7197833333333,-158.244333333333,-195.589583333333,545.410416666667
"8",1,"Cross 6","3",2011-10-01 00:00:00,2013-10-11 00:00:00,"Y",1,18,42.223,-158,15.88,NA,104545,"258477-006","",NA,"006-1","",206,"Gray",NA,"",18.70371667,-158.2646667,NA,NA,18.7037166666667,-158.264666666667,-195.589583333333,545.410416666667
"9",1,"Cross 1","3",2011-10-01 00:00:00,2013-10-11 00:00:00,"Y",1,18,43.257,-158,15.682,338,108467,"272366-009","",NA,"009-4","",201,"Gray",NA,"338m depth",18.72095,-158.2613667,NA,NA,18.72095,-158.261366666667,-195.589583333333,545.410416666667
"10",1,"Cross 10","3",2011-10-01 00:00:00,2013-10-11 00:00:00,"Y",1,18,43.786,-158,15.544,380,110305,"258477-006","",NA,"005-1","",210,"Gray",NA,"380m depth",18.72976667,-158.2590667,NA,NA,18.7297666666667,-158.259066666667,-195.589583333333,545.410416666667
"11",1,"Oahu - Makapuu","",2012-03-28 00:00:00,2012-12-09 00:00:00,"Y",1,21,18.48,-157,34.332,NA,102199,"","",NA,"","",5,"",NA,"Reconstructed from Receiver Logs. Possition is approximate and deployment recovery dates are estimates",NA,NA,NA,NA,21.308,-157.5722,-16.5895833333333,239.410416666667
"12",1,"Oahu - Diamond Head","",2012-03-29 00:00:00,2012-12-07 00:00:00,"Y",1,21,13.891,-157,48.804,NA,102203,"256240-008","",NA,"008-3","",7,"",NA,"",NA,NA,NA,NA,21.2315166666667,-157.8134,-15.5895833333333,237.410416666667
"13",1,"Oahu - Haleiwa","2",2012-03-29 00:00:00,2013-10-08 00:00:00,"Y",1,21,40.464,-158,11.566,330,103912,"256240-002","12/7/13 0:00",NA,"002-3","",1,"ag cc",NA,"Yellow means old coordinates- AG wrote ""need coordinates for new stations"" on datasheet",NA,NA,NA,NA,21.6744,-158.192766666667,-15.5895833333333,542.410416666667
"14",1,"Oahu - Kahuku","2",2012-03-29 00:00:00,2013-10-08 00:00:00,"Y",1,21,46.667,-157,58.143,325,110315,"256240-007","12/7/13 0:00",NA,"007-3","",2,"ag cc",NA,"Yellow means old coordinates- AG wrote ""need coordinates for new stations"" on datasheet",NA,NA,NA,NA,21.7777833333333,-157.96905,-15.5895833333333,542.410416666667
"15",1,"PB - Base Third Finger","1",2012-04-04 00:00:00,2013-03-17 00:00:00,"Y",1,20,54.519,-157,34.749,200,110298,"272366-005","4/4/13 0:00",NA,"005-1","",104,"",NA,"",NA,NA,NA,NA,20.90865,-157.57915,-9.58958333333333,337.410416666667
"16",1,"PB - First Finger","1",2012-04-04 00:00:00,2013-03-10 00:00:00,"Y",1,21,0.171,-157,20.824,118,110308,"272366-001","4/4/13 0:00",NA,"001-1","",100,"",NA,"",NA,NA,NA,NA,21.00285,-157.347066666667,-9.58958333333333,330.410416666667
"17",1,"PB - Dropoff in BRFA","1",2012-04-04 00:00:00,2013-03-10 00:00:00,"VRL MISSING!",0,0,0,0,0,0,110313,"272366-003","4/4/13 0:00",NA,"003-1","",101,"",NA,"",NA,NA,NA,NA,0,0,-9.58958333333333,330.410416666667
"18",1,"PB - Pinnacle South","1",2012-04-04 00:00:00,2013-03-10 00:00:00,"Y",1,20,57.308,-157,24.765,253,110314,"272366-004","4/4/13 0:00",NA,"004-1","",103,"",NA,"",NA,NA,NA,NA,20.9551333333333,-157.41275,-9.58958333333333,330.410416666667
"19",1,"PB - The Mound","1",2012-04-04 00:00:00,2013-03-10 00:00:00,"Y",1,20,59.363,-157,21.316,NA,110316,"272366-002","4/4/13 0:00",NA,"002-1","",102,"",NA,"",NA,NA,NA,NA,20.9893833333333,-157.355266666667,-9.58958333333333,330.410416666667
