,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Tag ID,Tagging Date,Time At Liberty,# Detections,% of Detections,Detections/Day,Unique Days,Distance Traveled,Distance/Day,# Receivers,Movements,Movements/Day,BRFA Crossings,BRFA Crossings/Day,
,37973,98,5,10,0.100654253,1.666666667,4,10.07446735,2.01489347,3,2,0.4,0,0,
,37974,98,3,12,0.120785103,3,2,6.422546646,2.140848882,2,1,0.333333333,0,0,
,37940,233,499,126,1.268243583,0.252,59,0,0,1,0,0,0,0,
,37950,275,8,6,0.060392552,0.666666667,1,0,0,1,0,0,0,0,
,37952,275,9,4,0.040261701,0.4,1,0,0,1,0,0,0,0,
,37954,275,12,1,0.010065425,0.076923077,1,NA,NA,1,0,0,0,0,
,37955,275,1,1,0.010065425,0.5,1,NA,NA,1,0,0,0,0,
,37958,275,9,4,0.040261701,0.4,1,0,0,1,0,0,0,0,
,37960,223,544,4535,45.64670357,8.321100917,164,3.74224646,0.00687913,2,2,0.003676471,0,0,
,37961,224,60,236,2.375440362,3.868852459,3,0,0,1,0,0,0,0,
,37970,0,4,61,0.613990941,12.2,1,0,0,1,0,0,0,0,
,37971,0,1,6,0.060392552,3,1,0,0,1,0,0,0,0,
,37975,98,182,1,0.010065425,0.005464481,1,NA,NA,1,0,0,0,0,
,37980,205,19,7,0.070457977,0.35,2,0,0,1,0,0,0,0,
,57455,202,477,2181,21.9526925,4.562761506,211,11.56427237,0.024243758,2,2,0.004192872,2,0.004192872,
,57457,202,481,2709,27.26723704,5.62033195,118,11.56427237,0.024042146,2,2,0.004158004,2,0.004158004,
,57458,202,425,19,0.19124308,0.044600939,12,0,0,1,0,0,0,0,
,57463,203,3,3,0.030196276,0.75,1,0,0,1,0,0,0,0,
,57464,204,82,13,0.130850528,0.156626506,1,0,0,1,0,0,0,0,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
