"","tag_id","tagging_date","V3","n_detections","percent_of_detections","V6","V7","V8","V9","receivers_detected","V11","V12","brfa_crossings","time_tracked_in","time_tracked_out","V16","homerange_polygon","homerange_linear"
"18249","18249","2015-03-17 19:29:00","253.35","9892","0.0498784804509838","39.0447996842313","235","1","0.00394710874284587","1","1","0.00394710874284587","0","253.35","0","0","0","0.661383499691295"
"18250","18250","2015-03-17 19:46:00","3.2","322","0.00162362219017557","100.625","5","31","9.6875","3","13","4.0625","0","3.2","0","0","2.88536898689365","0"
"18254","18251","2015-03-17 20:53:00","163.83","227","0.00114460322102439","1.38558261612647","3","29","0.177012757126289","2","2","0.0122077763535372","2","161.73","2.11","0.0122077763535372","8.38024958225632","0"
"18251","18252","2015-03-17 22:42:00","94.15","53","0.000267242161736973","0.562931492299522","6","11","0.116834838024429","2","4","0.0424853956452469","2","93.78","0.37","0.0212426978226235","2.79524053351307","0"
"18255","18253","2015-03-17 23:02:00","271.22","327","0.00164883371486774","1.20566329916673","4","14","0.0516186121967406","4","17","0.0626797433817565","0","0","271.22","0","0.107169855910778","0"
"18256","18254","2015-03-17 23:35:00","2.26","87","0.000438680529643711","38.4955752212389","3","10","4.42477876106195","3","5","2.21238938053097","1","2.06","0.19","0.442477876106195","2.20764867187214","0"
"18252","18255","2015-03-17 23:49:00","3.88","86","0.000433638224705277","22.1649484536082","3","23","5.92783505154639","3","5","1.28865979381443","2","2.89","0.99","0.515463917525773","19.5963744948616","0"
"18257","18256","2015-03-18 00:22:00","94.08","528","0.00266233700749287","5.61224489795918","4","11","0.116921768707483","4","4","0.0425170068027211","2","93.79","0.3","0.0212585034013605","2.79524053351307","0"
"18253","18257","2015-05-25 21:21:00","3.05","870","0.00438680529643711","285.245901639344","76","14","4.59016393442623","2","7","2.29508196721312","2","1.59","1.46","0.655737704918033","4.00224265174484","0"
"18259","18259","2015-05-26 00:33:00","227.23","4861","0.024510644305725","21.3924217752938","172","2","0.00880165471108568","1","1","0.00440082735554284","0","227.23","0","0","0","1.83928282205289"
"18260","18260","2015-05-26 02:23:00","199.16","7","3.52961345690342e-05","0.0351476200040169","6","1","0.00502108857200241","1","1","0.00502108857200241","0","199.16","0","0","0","0.605668055957673"
"918","918","2015-08-18 19:18:00","6.19","185","0.000932826413610189","29.8869143780291","5","17","2.74636510500808","4","7","1.13085621970921","2","6.08","0.12","0.323101777059774","6.25785380143452","0"
"919","919","2015-08-18 19:59:00","2.17","10","5.04230493843346e-05","4.60829493087558","3","5","2.30414746543779","2","2","0.921658986175115","0","2.17","0","0","0","4.8616789825093"
"920","920","2015-09-06 19:31:00","123.74","152854","0.770736479059308","1235.2836592856","122","21","0.169710683691611","3","4","0.0323258445126879","0","123.74","0","0","10.6281172114034","0"
"908","913","2015-12-12 18:55:00","26.64","118","0.000594991982735148","4.42942942942943","7","33","1.23873873873874","5","16","0.600600600600601","6","1.72","24.92","0.225225225225225","2.34335148381668","0"
"909","914","2015-12-12 19:10:00","26.65","17096","0.0862032452274584","641.500938086304","28","159","5.96622889305816","4","100","3.75234521575985","12","0.76","25.89","0.450281425891182","12.5280881293602","0"
"913","916","2015-12-12 20:19:00","26.22","4164","0.0209961577636369","158.810068649886","22","1","0.03813882532418","3","1","0.03813882532418","0","0","26.22","0","0","0.758192059714291"
"914","917","2015-12-12 20:25:00","6","6522","0.032885912808463","1087","27","30","5","8","9","1.5","3","4.84","1.16","0.5","8.35016835067505","0"
"917","908","2015-12-12 20:35:00","5.99","100","0.000504230493843346","16.6944908180301","6","32","5.34223706176962","5","11","1.83639398998331","3","4.97","1.01","0.500834724540901","8.35016835067505","0"
"910","909","2015-12-12 20:43:00","26.7","1","5.04230493843346e-06","0.0374531835205993","1","16","0.599250936329588","1","6","0.224719101123595","1","26.42","0.28","0.0374531835205993","8.35016835067505","0"
"916","910","2015-12-12 20:49:00","6.68","12","6.05076592612015e-05","1.79640718562874","8","1","0.149700598802395","1","1","0.149700598802395","0","0","6.68","0","0","0.758192059714291"
