"","tag_id","tagging_date","V3","n_detections","percent_of_detections","V6","V7","V8","V9","receivers_detected","V11","V12","brfa_crossings","time_tracked_in","time_tracked_out","V16","homerange_polygon","homerange_linear"
"37971","37970","2012-04-13 14:09:00","3.12","7","2.63490725126476e-05","2.24358974358974","2","1","0.32051282051282","2","1","0.32051282051282","0","0","3.12","0","0","1.25186321220833"
"37970","37971","2012-04-13 15:21:00","403.84","61","0.000229613346181643","0.151049920760697","1","16625","41.167293977813","1","2","0.00495245641838352","0","0","403.84","0","7978.68819498665","0"
"37972","37972","2012-04-13 16:33:00","314.48","778","0.00292851120211997","2.47392520987026","88","59","0.18761129483592","2","9","0.0286186720936149","8","151.63","162.86","0.0254388196387688","5.62826765615082","0"
"37973","57452","2012-07-20 11:16:00","306.01","10","3.76415321609251e-05","0.0326786706316787","4","16626","54.331557792229","3","1","0.00326786706316787","0","0","306.01","0","0","16637.4581500653"
"37974","37973","2012-07-20 12:43:00","4.38","12","4.51698385931101e-05","2.73972602739726","2","13","2.96803652968037","2","3","0.684931506849315","2","0.2","4.18","0.45662100456621","0","8.63483696026872"
"14412","37974","2012-07-20 13:40:00","1.84","1","3.76415321609251e-06","0.543478260869565","1","9","4.89130434782609","1","2","1.08695652173913","1","0.59","1.25","0.543478260869565","0","7.07899249383789"
"57451","37975","2012-07-20 16:04:00","180.67","24634","0.0927261503252228","136.34803785908","311","3","0.0166048596889356","2","1","0.00553495322964521","0","0","180.67","0","0","3.32298637552695"
"57463","37976","2012-07-20 16:33:00","305.83","3","1.12924596482775e-05","0.00980937121930484","1","16626","54.3635352973874","1","1","0.00326979040643495","0","0","305.83","0","0","16637.4685407211"
"37980","14412","2012-08-18 17:31:00","14.41","7","2.63490725126476e-05","0.485773768216516","2","5","0.346981263011797","2","1","0.0693962526023595","1","14.41","0","0.0693962526023595","0","4.52883946018667"
"37960","57445","2012-09-30 16:19:00","463.21","5504","0.0207178993013732","11.8822996049308","172","297","0.641177867489907","2","21","0.0453358088124177","20","320.53","142.69","0.0431769607737311","0","22.8766736269734"
"37961","57451","2012-11-01 21:50:00","309.27","236","0.000888340158997832","0.763087270022957","3","3675","11.8828208361626","1","3347","10.8222588676561","1","0.09","309.18","0.0032334206356905","0","295.535748445774"
"57445","57455","2012-11-01 22:19:00","475.22","1085","0.00408410623946037","2.2831530659484","78","1","0.00210428854004461","3","3","0.00631286562013383","0","475.22","0","0","0","0.9688928051998"
"37955","57457","2012-11-01 22:33:00","479.46","1","3.76415321609251e-06","0.00208567972302173","1","1","0.00208567972302173","1","1","0.00208567972302173","0","479.46","0","0","0","0.9688928051998"
"37975","57458","2012-11-01 22:48:00","423.25","1","3.76415321609251e-06","0.00236266981689309","1","1","0.00236266981689309","1","1","0.00236266981689309","0","423.25","0","0","0","0.9688928051998"
"37950","57459","2012-11-01 23:02:00","479.49","6","2.2584919296555e-05","0.0125132953763374","1","1","0.00208554922938956","1","3","0.00625664768816868","0","479.49","0","0","0","0.9688928051998"
"37952","57463","2012-11-02","2.35","4","1.505661286437e-05","1.70212765957447","1","6","2.5531914893617","1","1","0.425531914893617","1","2.34","0.01","0.425531914893617","0","5.82297157838099"
"37958","57464","2012-11-03 20:24:00","80.6","4","1.505661286437e-05","0.0496277915632754","1","41","0.508684863523573","1","1","0.0124069478908189","0","0","80.6","0","0","41.0053514683329"
"57464","37980","2012-11-04 00:43:00","18.83","13","4.89339918092026e-05","0.690387679235263","1","46","2.4429102496017","1","2","0.106213489113117","0","0","18.83","0","0","24.0496029008878"
"37954","37969","2012-11-04 03:21:00","542.4","1","3.76415321609251e-06","0.00184365781710914","1","226","0.416666666666667","1","3","0.00553097345132743","3","402.87","139.53","0.00553097345132743","11.4897351288761","0"
"57459","37960","2012-11-22 20:38:00","542.58","180525","0.6795237593351","332.715912860776","339","5","0.0092152309336872","2","3","0.00552913856021232","0","0","542.58","0","1.10826753144675","0"
"37969","37961","2012-11-23 02:52:00","59.73","47554","0.179000542038063","796.149338690775","400","2","0.0334840113845639","2","1","0.0167420056922819","0","0","59.73","0","0","1.92546822029351"
"57455","37940","2012-12-02 05:31:00","498.76","2280","0.00858226933269092","4.57133691555057","220","3","0.00601491699414548","2","1","0.00200497233138183","1","174.61","324.15","0.00200497233138183","0","3.089172703548"
"57457","37950","2013-01-13 00:28:00","7.42","2777","0.0104530534810889","374.258760107817","121","21","2.83018867924528","1","1","0.134770889487871","1","7.41","0.01","0.134770889487871","0","21.1552174715851"
"57452","37952","2013-01-13 00:57:00","8.87","1","3.76415321609251e-06","0.112739571589628","1","6","0.676437429537768","1","1","0.112739571589628","1","8.86","0.01","0.112739571589628","0","6.46477887068919"
"37976","37954","2013-01-13 01:40:00","11.07","12","4.51698385931101e-05","1.0840108401084","1","270","24.390243902439","1","1","0.0903342366757001","1","11.07","0","0.0903342366757001","0","268.859817168815"
"37940","37955","2013-01-13 02:09:00","0.22","128","0.000481811611659841","581.818181818182","60","6","27.2727272727273","1","1","4.54545454545455","0","0.22","0","0","0","6.27957077238222"
"57458","37958","2013-01-13 03:07:00","8.81","19","7.15189111057577e-05","2.1566401816118","12","6","0.681044267877412","1","1","0.113507377979569","1","8.79","0.02","0.113507377979569","0","6.47221852344604"
