"","tag_id","status","rationalle"
"21","1","Dead"," Tag Detected after 14 days Observed Movement Less Than 2 km,Depth range after 14 days less than 10 m,Tag detected at < 4 stations in first 14 days"
"6","10","Dead"," Tag Detected after 14 days Observed Movement Less Than 2 km,Depth range after 14 days less than 10 m,Tag detected at < 4 stations in first 14 days"
"17","11","Dead"," Tag Detected after 14 days Observed Movement Less Than 2 km,Depth range after 14 days less than 10 m,Tag detected at < 4 stations in first 14 days"
"16","12","Alive"," Tag Detected after 14 days Observed Movement Less Than 2 km Depth range after 14 days greater than 10 m"
"91","13","Dead"," Tag Detected after 14 days Observed Movement Less Than 2 km,Depth range after 14 days less than 10 m,Tag detected at < 4 stations in first 14 days"
"54","14","Dead"," Tag Detected after 14 days Observed Movement Less Than 2 km,Depth range after 14 days less than 10 m,Tag detected at < 4 stations in first 14 days"
"157","16","Excluded From Analysis",",Tag Detected < 14 days,Tag detected at < 4 stations in first 14 days,Tag last detected in BRFA E"
"2","17","Dead"," Tag Detected after 14 days Observed Movement Less Than 2 km,Depth range after 14 days less than 10 m,Tag detected at < 4 stations in first 14 days"
"1","18","Dead"," Tag Detected after 14 days Observed Movement Less Than 2 km,Depth range after 14 days less than 10 m,Tag detected at < 4 stations in first 14 days"
"36","20","Dead"," Tag Detected after 14 days Observed Movement Less Than 2 km,Depth range after 14 days less than 10 m,Tag detected at < 4 stations in first 14 days"
"93","2111","Dead"," Tag Detected after 14 days Observed Movement Less Than 2 km,Depth range after 14 days less than 10 m,Tag detected at 4 or more stations in first 14 days"
"115","2112","Excluded From Analysis",",Tag Detected < 14 days,Tag detected at 4 or more stations in first 14 days,Tag last detected in BRFA E"
"154","2114","Dead"," Tag Detected after 14 days Observed Movement Less Than 2 km,Depth range after 14 days less than 10 m,Tag detected at < 4 stations in first 14 days"
"99","2115","Excluded From Analysis",",Tag Detected < 14 days,Tag detected at < 4 stations in first 14 days,Tag last detected in BRFA E"
"94","2116","Dead"," Tag Detected after 14 days Observed Movement Less Than 2 km,Depth range after 14 days less than 10 m,Tag detected at 4 or more stations in first 14 days"
"95","2117","Dead"," Tag Detected after 14 days Observed Movement Less Than 2 km,Depth range after 14 days less than 10 m,Tag detected at < 4 stations in first 14 days"
"98","2118","Excluded From Analysis",",Tag Detected < 14 days,Tag detected at 4 or more stations in first 14 days,Tag last detected outside BRFA E"
"105","2119","Excluded From Analysis",",Tag Detected < 14 days,Tag detected at 4 or more stations in first 14 days,Tag last detected outside BRFA E"
"122","2120","Dead"," Tag Detected after 14 days Observed Movement Less Than 2 km,Depth range after 14 days less than 10 m,Tag detected at 4 or more stations in first 14 days"
"151","2121","Excluded From Analysis",",Tag Detected < 14 days,Tag detected at < 4 stations in first 14 days,Tag last detected in BRFA E"
