"tag_id","tagging_date","fork_length_cm","status","days_at_liberty","n_detections","mean_detections_per_day","unique_days","distance_tracked","mean_distance_per_day","n_stations","movements_detected","meacount_movements_per_day","total_brfa_crossings","in_to_out","out_to_in","days_tracked_in","days_tracked_out","mean_brfa_movements_per_day","max_polygon_area","max_linear_distance","z_constrained_path_distance","data_density"
"1",2017-01-13 10:17:00,74,"Dead",457,2058,4.50328227571116,266,0.46,0.00100656455142232,1,1,0.00218818380743982,0,0,0,456.41,0,0,NA,0.459420450316221,0,0.582056892778993
"10",2017-01-12 15:22:00,72,"Dead",270,36,0.133333333333333,20,2.27,0.00840740740740741,1,1,0.0037037037037037,0,0,0,269.34,0,0,NA,2.26006534149766,2.353,0.0740740740740741
"11",2017-01-12 15:40:00,76,"Dead",457,20881,45.691466083151,274,0.24,0.000525164113785558,1,1,0.00218818380743982,0,0,0,456.02,0,0,NA,0.244301553782408,0,0.599562363238512
"12",2017-01-12 16:01:00,67,"Alive",458,34438,75.1921397379913,295,0.1,0.000218340611353712,1,1,0.00218340611353712,0,0,0,457.01,0,0,NA,0.0962312656509635,0,0.64410480349345
"13",2017-01-09 13:25:00,50,"Dead",395,5,0.0126582278481013,4,0.64,0.00162025316455696,1,1,0.00253164556962025,0,0,0,393.56,0,0,NA,0.641549837565531,0,0.010126582278481
"14",2017-01-09 14:00:00,55,"Dead",450,683,1.51777777777778,80,0.56,0.00124444444444444,1,1,0.00222222222222222,0,0,0,448.94,0,0,NA,0.556692614540187,0,0.177777777777778
"16",2017-01-12 14:52:00,51,"Excluded From Analysis",445,32,0.0719101123595506,3,0.06,0.000134831460674157,1,1,0.00224719101123596,0,0,0,444.23,0,0,NA,0.0606256022894487,0,0.00674157303370787
"17",2017-01-12 14:30:00,62.5,"Dead",449,3663,8.15812917594655,153,2.15,0.00478841870824053,2,2,0.0044543429844098,0,0,0,448.74,0,0,0.148514567674637,2.00458562582542,1.621,0.34075723830735
"18",2017-01-09 14:40:00,71,"Dead",439,14060,32.0273348519362,244,3.04,0.0069248291571754,2,2,0.00455580865603645,0,0,0,438.07,0,0,0.293365151194572,2.48146835844954,1.621,0.555808656036446
"20",2017-01-09 11:05:00,57,"Dead",405,888,2.19259259259259,57,0.65,0.00160493827160494,1,1,0.00246913580246914,0,0,0,403.6,0,0,NA,0.651849415005384,0,0.140740740740741
"2111",2018-01-09 08:19:00,48.5,"Dead",95,2640,27.7894736842105,85,71.24,0.749894736842105,9,40,0.421052631578947,0,0,0,94.26,0,0,3.67399052392483,7.6335931547624,8.371,0.894736842105263
"2112",2018-01-09 09:22:00,39,"Excluded From Analysis",8,477,59.625,8,131.35,16.41875,12,82,10.25,2,1,1,7.22,0.1,0.25,7.35659986347365,12.4174636714408,13.077,1
"2114",2018-01-09 10:17:00,56.5,"Dead",71,13,0.183098591549296,9,0.47,0.00661971830985915,1,1,0.0140845070422535,0,0,0,70.5,0,0,NA,0.474814126758375,1.706,0.126760563380282
"2115",2018-01-09 11:09:00,50,"Excluded From Analysis",1,10,10,1,4.51,4.51,2,2,2,0,0,0,0.18,0,0,2.24673947999001,3.84537994724772,8.12,1
"2116",2018-01-09 11:13:00,59,"Dead",95,3687,38.8105263157895,49,67.11,0.706421052631579,10,32,0.336842105263158,2,1,1,94.05,0.02,0.0210526315789474,5.77329579763317,7.6856035957756,7.556,0.515789473684211
"2117",2018-01-09 11:34:00,51.5,"Dead",96,991,10.3229166666667,62,1.54,0.0160416666666667,1,1,0.0104166666666667,0,0,0,95.4,0,0,NA,1.53665910487912,4.707,0.645833333333333
