Station Name,Latitude,Longitude,,
Oahu - Makapuu BRFA 1,21.450,-157.687,,
Oahu - Makapuu BRFA 2,21.447,-157.694,,
Oahu - Makapuu BRFA 3,21.445,-157.701,,
Oahu - Makapuu BRFA 4,21.442,-157.708,,
Oahu - Makapuu BRFA 5,21.439,-157.715,,
Oahu - Makapuu BRFA 6,21.378,-157.649,,
Oahu - Makapuu BRFA 7,21.349,-157.653,,
Oahu - Makapuu BRFA 8,21.347,-157.623,,
Oahu - Makapuu BRFA 9,21.341,-157.591,,
Oahu - Makapuu BRFA 10,21.329,-157.639,,
Oahu - Makapuu BRFA 12,21.317,-157.610,,
Oahu - Makapuu BRFA 11,21.312,-157.628,,
Oahu - Makapuu BRFA 15,21.308,-157.569,,
Oahu - Makapuu BRFA 16,21.301,-157.547,,
Oahu - Makapuu BRFA 13,21.299,-157.603,,
Oahu - Makapuu BRFA 14,21.299,-157.585,,
Oahu - Makapuu BRFA 32,21.273,-157.618,,
Oahu - Makapuu BRFA 31,21.273,-157.610,,
Oahu - Makapuu BRFA 30,21.273,-157.602,,
Oahu - Makapuu BRFA 29,21.273,-157.594,,
Oahu - Makapuu BRFA 28,21.273,-157.586,,
Oahu - Makapuu BRFA 27,21.273,-157.579,,
Oahu - Makapuu BRFA 26,21.273,-157.571,,
Oahu - Makapuu BRFA 33,21.273,-157.626,,
Oahu - Makapuu BRFA 25,21.273,-157.563,,
Oahu - Makapuu BRFA 34,21.273,-157.634,,
Oahu - Makapuu BRFA 24,21.273,-157.555,,
Oahu - Makapuu BRFA 23,21.273,-157.547,,
Oahu - Makapuu BRFA 22,21.273,-157.539,,
,,,,
