SERVICED?,STATION_NO,CONSECUTIVE_DEPLOY_NO,DEPLOYMENT_DATE,RECOVERY_DATE,Downloaded?,IN_DATA_SET,Lat_deg,Lat_min,Lon_deg,Lon_min,BOTTOM_DEPTH,VR2_SERIAL_NO,AR_SERIAL_NO,AR_EXPECTED_BATTERY_LIFE,AR_VOLTAGE_AT_DEPLOY,AR_RELEASE_CODE,Temp Logger serial,STEVES_ARBITRARY_LOCATION_CODES,DEPLOYED_BY (Lead Technicians),Recovered By,COMMENTS_DEPLOYMENT,COMMENTS_RECOVERY,,,
,Oahu - Barber's Flats,3,1/18/15 8:30,,,0,21,14.242,-158,1.608,,110243,272366-006,,,024-4,,,Scherrer,,,,,,
,Oahu - Diamond Head,,1/19/15 0:00,,,0,21,14.042,-157,48.808,,110315,256240-007,,,007-3,,,Scherrer,,,,,,
1,Oahu - Haleiwa,2,3/29/12 0:00,10/8/13 0:00,Y,1,21,40.464,-158,11.566,330,103912,256240-002,12/7/13 0:00,,002-3,,1,ag cc,,"Yellow means old coordinates- AG wrote ""need coordinates for new stations"" on datasheet",,,,
1,Oahu - Kaena Pocket,,8/16/11 0:00,11/29/12 0:00,Y,1,21,32.867,-158,16.366,,102200,,,,,,13,,,Reconstructed from Receiver Logs. Possition is approximate and deployment recovery dates are estimates,,,,
,Oahu - Kahuku,,1/19/15 9:40,,,0,21,47.621,-157,58.134,,123731,272366-008,,,008-4,,,Scherrer,,"Black line, 3 green floats. ",,,,
1,Oahu - Ko olina,,9/18/11 0:00,11/29/12 0:00,Y,1,21,15.888,-158,6.555,327.8,103909,,,,,,10,,,Reconstructed from Receiver Logs. Possition is approximate and deployment recovery dates are estimates,,,,
1,Oahu - Makapuu,,9/24/12 0:00,3/19/13 0:00,Y,1,21,18.48,-157,34.332,,110310,,,,,,5,,,Reconstructed from Receiver Logs. No Indication if this was North or South. Assuming it is IN. Lon Lat guestimate from later makapuu locations,,,,
1,Oahu - Makapuu North,3,10/8/13 11:15,12/8/14 0:00,Y,1,21,25.532,-157,41.688,115,110310,,4/8/15 0:00,,286-1,,4,Scherrer,,"3 Green Floats, Flag, Block",21,25.53,-157,-41.68
1,Oahu - Makapuu South,2,3/23/13 0:00,8/26/13 0:00,Y,1,21,15.733,-157,35.659,100,110243,006-1,3/23/14 0:00,,006-1,655547,6,,,New location - our favorite fishing spot S of BRFA,,,,
,Oahu - Marine Corps Base,,1/19/15 0:00,,,0,21,29.927,-157,44.795,,102203,285719-004,,,007-2,,,Scherrer,,,,,,
1,Oahu - Power Plant,,8/12/11 0:00,11/28/12 0:00,Y,1,21,20.978,-158,8.963,,102202,,,,,,11,,,Reconstructed from Receiver Logs. Possition is approximate and deployment recovery dates are estimates,,,,
,Oahu - SWAC,,,,,0,21,16.789,-157,52.321,130,104549,45735,4/22/18 0:00,,235403,SBE 19+ CTD,8,christina comfort,,"3 orange floats, flag, 160lbs anchor, attached to SWAC mooring. Edgetch release instead of LRT. This has an Enable code: 240057 and a Release code: 235403. The deckbox for this release belongs to Mark Merrifield; contact: Kimball Millikan ksm@hawaii.edu",,,,
1,Oahu - Waianae,,8/12/11 0:00,11/30/12 0:00,Y,1,21,25.101,-158,12.526,,102201,,,,,,12,,,Reconstructed from Receiver Logs. Possition is approximate and deployment recovery dates are estimates,,,,
1,PB - Base Third Finger,1,4/4/12 0:00,3/17/13 0:00,Y,1,20,54.519,-157,34.749,200,110298,272366-005,4/4/13 0:00,,005-1,,104,,,,,,,
1,PB - First Finger,4,11/28/13 0:00,10/5/14 16:30,Y,1,21,0.165,-157,20.804,,110314,,11/17/14 0:00,,001-1,,100,Scherrer,,,,,,
1,PB - Pinnacle South,3,11/28/13 0:00,10/5/14 11:30,Y,1,20,57.308,-157,24.765,261,110298,,11/17/14 0:00,,005-1,,103,Scherrer,,,,,,
1,PB - South Tip,3,11/28/13 0:00,10/25/14 0:00,N,0,20,57.509,-157,44.101,285,110318,256240006,11/17/14 0:00,,006-3,,105,Scherrer,,LOST. Deck Box could not find LRT unit.,,,,
1,PB - The Mound,4,11/28/13 0:00,10/5/14 16:15,Y,1,20,59.369,-157,21.306,279,110308,272366004,11/17/14 0:00,,007-4,,102,Scherrer,,,,,,
