SERVICED?,STATION_NO,CONSECUTIVE_DEPLOY_NO,DEPLOYMENT_DATE,RECOVERY_DATE,Downloaded?,IN_DATA_SET,Lat_deg,Lat_min,lat_plot,Lon_deg,Lon_min,lon_plot,BOTTOM_DEPTH,VR2_SERIAL_NO,AR_SERIAL_NO,AR_EXPECTED_BATTERY_LIFE,AR_VOLTAGE_AT_DEPLOY,AR_RELEASE_CODE,Temp Logger serial,STEVES_ARBITRARY_LOCATION_CODES,DEPLOYED_BY (Lead Technicians),Recovered By,COMMENTS_DEPLOYMENT,COMMENTS_RECOVERY
1,Barber's Flats,2,11/29/12 0:00,7/13/13 0:00,Y,1,21,14.248,21.23746667,-158,1.608,-158.0268,343,103910,256240-009,11/29/13,,003-9 (last said 009-3),,9,ag cc,,,
1,Diamond Head,,3/29/12 0:00,12/7/12 0:00,Y,1,21,13.891,21.23151667,-157,48.804,-157.8134,,102203,256240-008,,,008-3,,7,,,,
1,Haleiwa,2,3/29/12 0:00,10/8/13 0:00,Y,1,21,40.464,21.6744,-158,11.566,-158.1927667,330,103912,256240-002,12/7/13,,002-3,,1,ag cc,,"Yellow means old coordinates- AG wrote ""need coordinates for new stations"" on datasheet",
1,Kaena,2,11/29/12 0:00,11/7/13 0:00,Y,1,21,32.867,21.54778333,-158,16.366,-158.2727667,320,102200,256240-005,11/29/13,,005-3,,13,ag cc,,,
,Kahuku2,lost,10/8/13 0:00,1/19/15 9:35,,0,21,47.667,21.79445,-157,58.143,-157.96905,325,104546,,4/8/15,,004-3,,2,Scherrer,,"LOST - 3 Green Floats, Flag, Block",
,Koolina,3,11/7/13 0:00,1/18/15 9:45,,1,21,15.888,21.2648,-158,6.585,-158.10975,330,102203,258477-001,11/7/14,15.6,008-2,,10,kw,,20 m line,
,Makakpuu BRFA 19,,12/8/14 0:00,,,0,21,14.838,21.2473,-157,41.324,-157.6887333,,110314,272366-007,,,007-4,,,Scherrer,,BRFA E Southern Fence,
,Makapuu BRFA 1,,12/8/14 0:00,,,0,21,27.002,21.45003333,-157,41.236,-157.6872667,,123736,256240-004,,,004-3,,,Scherrer,,BRFA E Northern Fence,
,Makapuu BRFA 10,,12/8/14 0:00,,,0,21,19.758,21.3293,-157,38.358,-157.6393,,123732,291344-009,,,002-1,,,Scherrer,,,
,Makapuu BRFA 11,,12/8/14 0:00,,,0,21,18.708,21.3118,-157,37.668,-157.6278,,123737,291344-003,,,040-2,,,Scherrer,,,
,Makapuu BRFA 12,,12/8/14 0:00,,,0,21,19.008,21.3168,-157,36.618,-157.6103,,123740,291341-010,,,040-8,,,Scherrer,,,
,Makapuu BRFA 13,,12/8/14 0:00,,,0,21,17.958,21.2993,-157,36.198,-157.6033,,123738,,,,005-3,,,Scherrer,,,
,Makapuu BRFA 14,,12/8/14 0:00,,,0,21,17.958,21.2993,-157,35.118,-157.5853,,123735,259240-001,,,001-3,,,Scherrer,,,
,"Makapuu BRFA 15 (""Makapuu In BRFA"")",,12/8/14 0:00,,,0,21,18.48,21.308,-157,34.126,-157.5687667,,110308,291344-009,,,020-1,,,Scherrer,,"Same Position as prevoius ""Makapuu_IN_BRFA"" deployments",
,Makapuu BRFA 16,,12/8/14 0:00,,,0,21,18.048,21.3008,-157,32.839,-157.5473167,,123734,291344-001,,,020-3,,,Scherrer,,,
,Makapuu BRFA 17,,12/8/14 0:00,,,0,21,15.384,21.2564,-157,41.728,-157.6954667,,103911,,,,009-4,,,Scherrer,,BRFA E Southern Fence,
,Makapuu BRFA 18,,12/8/14 0:00,,,0,21,15.119,21.25198333,-157,41.531,-157.6921833,,123741,272366-001,,,005-2,,,Scherrer,,BRFA E Southern Fence,
,Makapuu BRFA 2,,12/8/14 0:00,,,0,21,26.839,21.44731667,-157,41.646,-157.6941,,102200,291344-010,,,040-7,,,Scherrer,,BRFA E Northern Fence,
,Makapuu BRFA 20,,12/8/14 0:00,,,0,21,14.557,21.24261667,-157,41.116,-157.6852667,,110310,272366-005,,,005-1,,,Scherrer,,BRFA E Southern Fence,
,Makapuu BRFA 3,,12/8/14 0:00,,,0,21,26.676,21.4446,-157,42.056,-157.7009333,,110298,291341-009,,,040-4,,,Scherrer,,BRFA E Northern Fence,
,Makapuu BRFA 4,,12/8/14 0:00,,,0,21,26.515,21.44191667,-157,42.462,-157.7077,,110311,291344-004,,,040-3,,,Scherrer,,BRFA E Northern Fence,
,Makapuu BRFA 5,,12/8/14 0:00,,,0,21,26.35,21.43916667,-157,42.875,-157.7145833,,123733,291344-003,,,020-2,,,Scherrer,,BRFA E Northern Fence,
,Makapuu BRFA 6,,12/8/14 0:00,,,0,21,22.668,21.3778,-157,38.928,-157.6488,,103543,291344-007,,,040-5,,,Scherrer,,,
,Makapuu BRFA 7,,12/8/14 0:00,,,0,21,20.958,21.3493,-157,39.168,-157.6528,,110319,,,,004-1,,,Scherrer,,,
,Makapuu BRFA 8,,12/8/14 0:00,,,0,21,20.838,21.3473,-157,37.368,-157.6228,,110305,291344-002,,,040-9,,,Scherrer,,,
,Makapuu BRFA 9,,12/8/14 0:00,,,0,21,20.478,21.3413,-157,35.478,-157.5913,,108467,291344-005,,,040-6,,,Scherrer,,,
,Marine_Corps_Base2,2,10/8/13 0:00,1/19/15 0:00,,1,21,29.927,21.49878333,-157,44.795,-157.7465833,313,110317,,4/8/15,,008-1,,3,Scherrer,,"3 Green Floats, Flag, Block",
,Power_Plant,,11/7/13 0:00,1/18/15 11:45,,1,21,20.978,21.34963333,-158,8.963,-158.1493833,322,103909,285719-004,11/7/14,16,007-2,655558,11,ts,,VR2 battery came up dead. Some data on recorder,
,SWAC,,,,,0,21,16.789,21.27981667,-157,52.321,-157.8720167,130,104549,45735,4/22/18,,235403,SBE 19+ CTD,8,christina comfort,,"3 orange floats, flag, 160lbs anchor, attached to SWAC mooring. Edgetch release instead of LRT. This has an Enable code: 240057 and a Release code: 235403. The deckbox for this release belongs to Mark Merrifield; contact: Kimball Millikan ksm@hawaii.edu",
1,Waianae,2,11/29/12 0:00,11/7/13 0:00,Y,1,21,25.101,21.41835,-158,12.526,-158.2087667,302.5,102201,256240-006,11/29/13,,006-3,,12,ag cc,,,
