dates,species,caught,sold,value,price_per_pound,inflated_ppp,inflated_dollar,inflated_value,month
7.1149e+05,0,6731.1,6714.6,3244,0.40857,4.0354,0.49775,32040,1
7.1152e+05,0,9064.7,8959.7,4295.9,0.48286,4.7691,0.49775,42429,2
7.1155e+05,0,6664,6630.9,3277.9,0.48571,4.7973,0.49775,32375,3
7.1158e+05,0,8528.4,8482,4796.1,0.57143,5.6439,0.49775,47371,4
7.1161e+05,0,11624,11578,4204.4,0.44286,4.374,0.49775,41526,5
7.1164e+05,0,8564,8502.7,4125.4,0.50143,4.9525,0.49775,40746,6
7.1168e+05,0,5511.7,5446.3,2730.6,0.43429,4.2894,0.49775,26969,7
7.1171e+05,0,7427.4,7379.6,3278.4,0.43571,4.3035,0.49775,32380,8
7.1174e+05,0,5073.6,4999.9,2575.7,0.44429,4.3881,0.49775,25440,9
7.1177e+05,0,5465,5417,2770.9,0.43714,4.3176,0.49775,27367,10
7.118e+05,0,5988.4,5932.6,3078.3,0.50571,4.9948,0.49775,30404,11
7.1183e+05,0,4770.1,4680,2624.7,0.50857,5.0231,0.49775,25924,12
7.1186e+05,0,10598,10501,5304.7,0.51,5.1007,0.50504,53054,1
7.1189e+05,0,6632.3,6572.1,3601,0.52143,5.215,0.50504,36015,2
7.1192e+05,0,7697.4,7635.9,4387.9,0.47714,4.7721,0.50504,43884,3
7.1195e+05,0,5588.1,5534,3427.6,0.5,5.0007,0.50504,34280,4
7.1198e+05,0,8038.6,8008.1,3538.6,0.35714,3.5719,0.50504,35390,5
7.1201e+05,0,7724,7676.1,3225.6,0.41286,4.1291,0.50504,32260,6
7.1204e+05,0,7555.7,7522.6,3284.7,0.44714,4.472,0.50504,32851,7
7.1207e+05,0,4954.1,4910.3,2563,0.49571,4.9578,0.50504,25633,8
7.121e+05,0,5737.4,5705.6,2837.7,0.49714,4.9721,0.50504,28381,9
7.1213e+05,0,5999,5933.1,2771.3,0.46429,4.6435,0.50504,27716,10
7.1216e+05,0,6710.9,6666.4,2845.7,0.44286,4.4291,0.50504,28461,11
7.1219e+05,0,9680.1,9643.1,4344.3,0.40714,4.072,0.50504,43449,12
7.1222e+05,0,5489.9,5460.3,1932.4,0.37143,3.6685,0.5155,19086,1
7.1226e+05,0,7511,7450.4,3166.1,0.40429,3.9931,0.5155,31271,2
7.1228e+05,0,4650.9,4633.1,2077.9,0.45286,4.4728,0.5155,20523,3
7.1231e+05,0,6335.9,6308.3,2943.4,0.45143,4.4587,0.5155,29072,4
7.1234e+05,0,9456.7,9424.3,3591.6,0.39571,3.9084,0.5155,35473,5
7.1238e+05,0,6928.7,6909.3,2312,0.38286,3.7814,0.5155,22835,6
7.1240e+05,0,6908,6870.1,2565.7,0.40286,3.9789,0.5155,25341,7
7.1244e+05,0,7071.7,7043,3024,0.39429,3.8943,0.5155,29867,8
7.1247e+05,0,8037.7,7995.7,3110,0.37,3.6544,0.5155,30717,9
7.125e+05,0,7332.7,7309.1,2720.3,0.33143,3.2735,0.5155,26868,10
7.1253e+05,0,3164.9,3104.1,1276.1,0.40571,4.0072,0.5155,12604,11
7.1256e+05,0,6791,6704.1,3070.6,0.43714,4.3176,0.5155,30327,12
7.1259e+05,0,4137.9,4096.1,1971.1,0.47571,4.3552,0.53177,18046,1
7.1262e+05,0,9988.4,9963.1,3976.1,0.42143,3.8582,0.53177,36402,2
